Roman Numeral Usage in <ls> References
======================================================================

Total <ls> references with first-token analysis: 47002
Total sources: 189
Roman numeral first tokens: 3884 (8.3%)
Arabic digit first tokens:  41644 (88.6%)
Other:                     1474 (3.1%)

Source                                     Total   Roman  Arabic   Other   % Roman
────────────────────────────────────────────────────────────────────────────────
MBh.                                        7366      22    7342       2      0.3%
Man.                                        6047       1    6044       2      0.0%
Rām.                                        5157      19    5138       0      0.4%
Pañc.                                       4743    1960    2778       5     41.3%
Chr.                                        3009       0    3003       6      0.0%
Bhāg. P.                                    1893       4    1889       0      0.2%
Hit.                                        1707    1075     631       1     63.0%
Rājat.                                      1325       0    1325       0      0.0%
Daśak.                                      1095       2      92    1001      0.2%
Ragh.                                        931       0     931       0      0.0%
Bhartṛ.                                      779       2     775       2      0.3%
Suśr.                                        776       0     776       0      0.0%
Rigv.                                        766     734      32       0     95.8%
Utt. Rāmac.                                  721       0     721       0      0.0%
Kathās.                                      720       1     719       0      0.1%
Hariv.                                       693       0     693       0      0.0%
Lass.                                        616       0     615       1      0.0%
Śāk.                                         520       0     514       6      0.0%
Megh.                                        499       0     499       0      0.0%
Yājñ.                                        494       1     493       0      0.2%
Vikr.                                        483       0     483       0      0.0%
Nal.                                         478       0     478       0      0.0%
Śiś.                                         466       0     466       0      0.0%
Vedāntas.                                    420       0       3     417      0.0%
Kir.                                         419       0     419       0      0.0%
Böhtl. Ind. Spr.                             409       0     409       0      0.0%
Bhag.                                        408       1     407       0      0.2%
Mālat.                                       351       0     349       2      0.0%
Bhāṣāp.                                      316       0     315       1      0.0%
Ṛt.                                          244       1     243       0      0.4%
Mṛcch.                                       236       0     236       0      0.0%
Johns. Sel.                                  229       0     229       0      0.0%
Prab.                                        216       0     216       0      0.0%
Bhaṭṭ.                                       170       0     170       0      0.0%
Mārk. P.                                     158       0     158       0      0.0%
Kumāras.                                     154       0     154       0      0.0%
Draup.                                       141       0     141       0      0.0%
Mālav.                                       131       0     131       0      0.0%
Arj.                                         128       0     128       0      0.0%
Indr.                                        127       0     127       0      0.0%
Sāv.                                         122       0     122       0      0.0%
Gīt.                                         121       2     119       0      1.7%
Hiḍ.                                          97       1      96       0      1.0%
Kām. Nītis.                                   91       1      90       0      1.1%
Amar.                                         78       0      78       0      0.0%
Cāṇ.                                          75       0      75       0      0.0%
Nalod.                                        68       0      68       0      0.0%
Sund.                                         62       0      62       0      0.0%
Dev.                                          51       0      50       1      0.0%
Sāh. D.                                       49       0      48       1      0.0%
Pāṇ.                                          47      32      15       0     68.1%
Śṛṅgārat.                                     44       0      44       0      0.0%
Berl. Monatsb.                                44       0      44       0      0.0%
Brāhmaṇav.                                    31       0      30       1      0.0%
Naiṣ.                                         30       1      29       0      3.3%
Caurap.                                       30       0      30       0      0.0%
Matsyop.                                      22       0      22       0      0.0%
Varāh. Bṛh. S.                                21       0      21       0      0.0%
Śatr.                                         19       0      19       0      0.0%
Brāhmaṇ.                                      18       0      18       0      0.0%
Gorr.                                         16       0      14       2      0.0%
Śāntiś.                                       16       0      16       0      0.0%
Śrut.                                         12       0      12       0      0.0%
Kāvya Prak.                                   12       0      11       1      0.0%
Ghaṭ.                                         11       0      11       0      0.0%
Ind. St.                                      11      10       1       0     90.9%
Kirāt.                                        10       0      10       0      0.0%
Hit. pr.                                      10       0      10       0      0.0%
Mahāv.                                         8       0       8       0      0.0%
Brahmav.                                       8       0       8       0      0.0%
Sāh. Darp.                                     8       0       6       2      0.0%
Lass. Anth.                                    7       0       7       0      0.0%
Mahāvīrac.                                     7       0       7       0      0.0%
Viṣṇu P.                                       7       0       7       0      0.0%
Padmap.                                        7       0       7       0      0.0%
Böhtl. Chr.                                    6       0       6       0      0.0%
Bhāg.                                          6       0       6       0      0.0%
Häberl. Anth.                                  6       0       6       0      0.0%
Kusumāñj.                                      6       0       6       0      0.0%
