imptve.	<id>imptve.</id> <disp>imperative</disp>
imptive.	<id>imptive.</id> <disp>imperative</disp>
potent.	<id>potent.</id> <disp>potential</disp>
prep.	<id>prep.</id> <disp>preposition</disp>
superl.	<id>superl.</id> <disp>superlative</disp>
Superl.	<id>Superl.</id> <disp>superlative</disp>
subst.	<id>subst.</id> <disp>substantive</disp>
fut.	<id>fut.</id> <disp>future</disp>
vb.	<id>vb.</id> <disp>verb</disp>
cf.	<id>cf.</id> <disp>confer</disp>
Cf.	<id>Cf.</id> <disp>confer</disp>
ptcple.	<id>ptcple.</id> <disp>participle</disp>
Ptcple.	<id>Ptcple.</id> <disp>participle</disp>
pass.	<id>pass.</id> <disp>passive</disp>
Pass.	<id>Pass.</id> <disp>passive</disp>
pf.	<id>pf.</id> <disp>perfect</disp>
Pf.	<id>Pf.</id> <disp>perfect</disp>
pres.	<id>pres.</id> <disp>present</disp>
Pres.	<id>Pres.</id> <disp>present</disp>
i. e.	<id>i. e.</id> <disp>id est (that is)</disp>
i.e.	<id>i.e.</id> <disp>id est (that is)</disp>
v. r.	<id>v. r.</id> <disp>variant reading (?)</disp>
v.r.	<id>v.r.</id> <disp>variant reading (?)</disp>
ved.	<id>ved.</id> <disp>Vedic</disp>
Ved.	<id>Ved.</id> <disp>Vedic</disp>
denominat.	<id>denominat.</id> <disp>denominative</disp>
desider.	<id>desider.</id> <disp>desiderative</disp>
Desider.	<id>Desider.</id> <disp>desiderative</disp>
N.V.A.	<id>N.V.A.</id> <disp>nominative, vocative and accusative</disp>
N.V.	<id>N.V.</id> <disp>nominative and vocative</disp>
D.A.	<id>D.A.</id> <disp>dative and accusative</disp>
patronym.	<id>patronym.</id> <disp>patronymic</disp>
Patronym.	<id>Patronym.</id> <disp>patronymic</disp>
aor.	<id>aor.</id> <disp>aorist</disp>
Aor.	<id>Aor.</id> <disp>aorist</disp>
conj.	<id>conj.</id> <disp>conjugation</disp>
comparat.	<id>comparat.</id> <disp>comparative</disp>
Comparat.	<id>Comparat.</id> <disp>comparative</disp>
interj.	<id>interj.</id> <disp>interjection</disp>
Interj.	<id>Interj.</id> <disp>interjection</disp>
corr.	<id>corr.</id> <disp>?</disp>
Corr.	<id>Corr.</id> <disp>?</disp>
e. g.	<id>e. g.</id> <disp>exempli gratia (for example)</disp>
etc.	<id>etc.</id> <disp>et cetera (and so forth)</disp>
comp. adj.	<id>comp. adj.</id> <disp>compound adjective</disp>
ib.	<id>ib.</id> <disp>ibidem (in the same place)</disp>
2. ed.	<id>2. ed.</id> <disp>second edition</disp>
q.	<id>q.</id> <disp>quod (which)</disp>
viz.	<id>viz.</id> <disp>videlicet (namely)</disp>
s. v.	<id>s. v.</id> <disp>sub voce (under the word)</disp>
sbst.	<id>sbst.</id> <disp>substantive</disp>
Sch.	<id>Sch.</id> <disp>Scholiast</disp>
ed.	<id>ed.</id> <disp>edition</disp>
infin.	<id>infin.</id> <disp>infinitive</disp>
sqq.	<id>sqq.</id> <disp>sequentia (and following)</disp>
aff.	<id>aff.</id> <disp>affix</disp>
transl.	<id>transl.</id> <disp>translation</disp>
patron.	<id>patron.</id> <disp>patronymic</disp>
indecl.	<id>indecl.</id> <disp>indeclinable</disp>
absol.	<id>absol.</id> <disp>absolute</disp>
figurat.	<id>figurat.</id> <disp>figurative</disp>
denom.	<id>denom.</id> <disp>denominative</disp>
orn.	<id>orn.</id> <disp>ornamental</disp>
red.	<id>red.</id> <disp>reduplicated</disp>
prepos.	<id>prepos.</id> <disp>preposition</disp>
s.v.	<id>s.v.</id> <disp>sub voce (under the word)</disp>
Absol.	<id>Absol.</id> <disp>absolute</disp>
inf.	<id>inf.</id> <disp>infinitive</disp>
metronym.	<id>metronym.</id> <disp>metronymic</disp>
ord. num.	<id>ord. num.</id> <disp>ordinal number</disp>
imperat.	<id>imperat.</id> <disp>imperative</disp>
pron.	<id>pron.</id> <disp>pronoun</disp>
part.	<id>part.</id> <disp>particle</disp>
onomatop.	<id>onomatop.</id> <disp>onomatopoeic</disp>
desiderat.	<id>desiderat.</id> <disp>desiderative</disp>
card. num.	<id>card. num.</id> <disp>cardinal number</disp>
Compar.	<id>Compar.</id> <disp>comparative</disp>
A.S.	<id>A.S.</id> <disp>Anglo-Saxon.</disp>
Eng.	<id>Eng.</id> <disp>english</disp>
Engl.	<id>Engl.</id> <disp>English</disp>
Goth.	<id>Goth.</id> <disp>Gothic.</disp>
Icel.	<id>Icel.</id> <disp>Icelandic.</disp>
Lat.	<id>Lat.</id> <disp>Latin.</disp>
N.G.	<id>N.G.</id> <disp>New German ?</disp>
N.H.G.	<id>N.H.G.</id> <disp>New High German.</disp>
N.N.L.	<id>N.N.L.</id> <disp>New Netherlandis or Dutch.</disp>
O.H.G.	<id>O.H.G.</id> <disp>Old High German.</disp>
O.N.	<id>O.N.</id> <disp>Old Norse.</disp>
Prākṛ.	<id>Prākṛ.</id> <disp>Prākṛt.</disp>
Ssk.	<id>Ssk.</id> <disp>Sanskrit.</disp>
Sskr.	<id>Sskr.</id> <disp>Sanskrit.</disp>
Swed.	<id>Swed.</id> <disp>Swedish.</disp>
Zend.	<id>Zend.</id> <disp>Zend (Avestan)</disp>
Calc.	<id>Calc.</id> <disp>Calcutta</disp>
Seramp.	<id>Seramp.</id> <disp>Serampore</disp>
ntr.	<id>ntr.</id> <disp>neuter</disp>
redupl.	<id>redupl.</id> <disp>reduplicated</disp>
s.	<id>s.</id> <disp>substantive; singular</disp>
ap.	<id>ap.</id> <disp>apud (in the works of)</disp>
bel.	<id>bel.</id> <disp>below</disp>
imperf.	<id>imperf.</id> <disp>imperfect</disp>
q. v.	<id>q. v.</id> <disp>quod vide (which see)</disp>
refl.	<id>refl.</id> <disp>reflexive</disp>
act.	<id>act.</id> <disp>active</disp>
Suppl.	<id>Suppl.</id> <disp>supplement</disp>
anom.	<id>anom.</id> <disp>anomalous</disp>
dual	<id>dual</id> <disp>dual</disp>
ind.	<id>ind.</id> <disp>indicative</disp>
msc.	<id>msc.</id> <disp>masculine</disp>
partic.	<id>partic.</id> <disp>participle</disp>
suppl.	<id>suppl.</id> <disp>supplement</disp>
ord.	<id>ord.</id> <disp>ordinal</disp>
sarg.	<id>sarg.</id> <disp>sarga (section of a text)</disp>
Bahuvr.	<id>Bahuvr.</id> <disp>Bahuvrihi</disp>
Gramm.	<id>Gramm.</id> <disp>grammar; Grammarians</disp>
Infin.	<id>Infin.</id> <disp>infinitive</disp>
absolut.	<id>absolut.</id> <disp>absolute</disp>
ep.	<id>ep.</id> <disp>epithet</disp>
r.	<id>r.</id> <disp>reading</disp>
Anom.	<id>Anom.</id> <disp>anomalous</disp>
Sskt.	<id>Sskt.</id> <disp>Sanskrit</disp>
accs.	<id>accs.</id> <disp>accusative</disp>
conjunct.	<id>conjunct.</id> <disp>conjunction</disp>
ordin.	<id>ordin.</id> <disp>ordinal</disp>
ordin. numb.	<id>ordin. numb.</id> <disp>ordinal number</disp>
Æol.	<id>Æol.</id> <disp>Aeolic</disp>
Absolut.	<id>Absolut.</id> <disp>absolute</disp>
Germ.	<id>Germ.</id> <disp>German</disp>
Gr.	<id>Gr.</id> <disp>Greek</disp>
Impers.	<id>Impers.</id> <disp>impersonal</disp>
Ser.	<id>Ser.</id> <disp>Serampore</disp>
Superlat.	<id>Superlat.</id> <disp>superlative</disp>
aeol.	<id>aeol.</id> <disp>Aeolic</disp>
cl.	<id>cl.</id> <disp>class (verb class)</disp>
comment.	<id>comment.</id> <disp>commentary</disp>
compar.	<id>compar.</id> <disp>comparative</disp>
comps.	<id>comps.</id> <disp>compounds</disp>
dual.	<id>dual.</id> <disp>dual</disp>
figur.	<id>figur.</id> <disp>figurative</disp>
gramm.	<id>gramm.</id> <disp>grammar; grammatical</disp>
impers.	<id>impers.</id> <disp>impersonal</disp>
metron.	<id>metron.</id> <disp>metronymic</disp>
nomin.	<id>nomin.</id> <disp>nominative</disp>
numer. adj.	<id>numer. adj.</id> <disp>numeral adjective</disp>
ord. numb.	<id>ord. numb.</id> <disp>ordinal number</disp>
perf.	<id>perf.</id> <disp>perfect</disp>
pers.	<id>pers.</id> <disp>person</disp>
ult.	<id>ult.</id> <disp>ultimately</disp>
v.	<id>v.</id> <disp>variant</disp>
v. l.	<id>v. l.</id> <disp>varia lectio (variant reading)</disp>
vv. rr.	<id>vv. rr.</id> <disp>variae lectiones (variant readings)</disp>
Abstr.	<id>Abstr.</id> <disp>abstract</disp>
Abstract.	<id>Abstract.</id> <disp>abstract</disp>
Arab.	<id>Arab.</id> <disp>Arabic</disp>
Bhvr.	<id>Bhvr.</id> <disp>Bahuvrihi</disp>
Bhvr. comp.	<id>Bhvr. comp.</id> <disp>Bahuvrihi compound</disp>
Coptic	<id>Coptic</id> <disp>Coptic</disp>
Danish	<id>Danish</id> <disp>Danish</disp>
Desiderat.	<id>Desiderat.</id> <disp>desiderative</disp>
Figurat.	<id>Figurat.</id> <disp>figurative</disp>
German	<id>German</id> <disp>German</disp>
Got.	<id>Got.</id> <disp>Gothic</disp>
Iceland.	<id>Iceland.</id> <disp>Icelandic</disp>
Indecl.	<id>Indecl.</id> <disp>indeclinable</disp>
Indefin. pron.	<id>Indefin. pron.</id> <disp>indefinite pronoun</disp>
inst.	<id>inst.</id> <disp>instrumental</disp>
Jur.	<id>Jur.</id> <disp>jurisprudence</disp>
Karmadhār.	<id>Karmadhār.</id> <disp>Karmadharaya</disp>
lb.	<id>lb.</id> <disp>libra (pound)</disp>
MSS.	<id>MSS.</id> <disp>manuscripts</disp>
O. Saxon	<id>O. Saxon</id> <disp>Old Saxon</disp>
Oscan	<id>Oscan</id> <disp>Oscan</disp>
oz.	<id>oz.</id> <disp>ounce</disp>
Patron.	<id>Patron.</id> <disp>patronymic</disp>
pr.	<id>pr.</id> <disp>present</disp>
pr. par.	<id>pr. par.</id> <disp>present Parasmaipada</disp>
Prākṛt.	<id>Prākṛt.</id> <disp>Prākṛt</disp>
ps.	<id>ps.</id> <disp>person (grammatical)</disp>
pson.	<id>pson.</id> <disp>person (grammatical)</disp>
Ptcple	<id>Ptcple</id> <disp>participle</disp>
ptcle.	<id>ptcle.</id> <disp>particle</disp>
reflect.	<id>reflect.</id> <disp>reflexive</disp>
s. vv.	<id>s. vv.</id> <disp>sub vocibus (under the words)</disp>
sc.	<id>sc.</id> <disp>scilicet (namely)</disp>
Schol.	<id>Schol.</id> <disp>Scholiast; scholium</disp>
seq.	<id>seq.</id> <disp>sequentia (and following)</disp>
Slav.	<id>Slav.</id> <disp>Slavonic</disp>
vbs.	<id>vbs.</id> <disp>verbs</disp>
card. numb.	<id>card. numb.</id> <disp>cardinal number</disp>
condit.	<id>condit.</id> <disp>conditional</disp>
demonst. pron.	<id>demonst. pron.</id> <disp>demonstrative pronoun</disp>
demonstr. pron.	<id>demonstr. pron.</id> <disp>demonstrative pronoun</disp>
hypothet.	<id>hypothet.</id> <disp>hypothetical</disp>
inchoat.	<id>inchoat.</id> <disp>inchoative</disp>
interr.	<id>interr.</id> <disp>interrogative</disp>
interrog.	<id>interrog.</id> <disp>interrogative</disp>
interrog. pron.	<id>interrog. pron.</id> <disp>interrogative pronoun</disp>
interrogat. pron.	<id>interrogat. pron.</id> <disp>interrogative pronoun</disp>
irreg.	<id>irreg.</id> <disp>irregular</disp>
lit.	<id>lit.</id> <disp>literal; literally</disp>
metaph.	<id>metaph.</id> <disp>metaphorical</disp>
num.	<id>num.</id> <disp>number; numeral</disp>
opp.	<id>opp.</id> <disp>opposite</disp>
partcple.	<id>partcple.</id> <disp>participle</disp>
possess. pron.	<id>possess. pron.</id> <disp>possessive pronoun</disp>
precat.	<id>precat.</id> <disp>precative</disp>
pronom.	<id>pronom.</id> <disp>pronominal; pronoun</disp>
pronomin.	<id>pronomin.</id> <disp>pronominal</disp>
reduplic.	<id>reduplic.</id> <disp>reduplicative</disp>
reduplicat.	<id>reduplicat.</id> <disp>reduplicative</disp>
psn.	<id>psn.</id> <disp>person (grammatical)</disp>
M.M.	<id>M.M.</id> <disp>Max Müller</disp>
Chezy.	<id>Chezy.</id> <disp>Chezy</disp>
Wils.	<id>Wils.</id> <disp>Wilson</disp>
C.	<id>C.</id> <disp>Chezy</disp>
Lois.	<id>Lois.</id> <disp>Lois de Manou (Loiseleur-Deslongchamps)</disp>
Böhtl.	<id>Böhtl.</id> <disp>Böhtlingk</disp>
Bopp.	<id>Bopp.</id> <disp>Bopp</disp>
Brockh.	<id>Brockh.</id> <disp>Brockhaus</disp>
Haug.	<id>Haug.</id> <disp>Haug</disp>
Premacandra Tark˚	<id>Premacandra Tark˚</id> <disp>Premacandra Tarkavāgīśa</disp>
Stenzl.	<id>Stenzl.</id> <disp>Stenzler</disp>
Tacit.	<id>Tacit.</id> <disp>Tacitus</disp>
Gorr.	<id>Gorr.</id> <disp>Gorresio</disp>
Ball.	<id>Ball.</id> <disp>Ballantyne</disp>
Boll.	<id>Boll.</id> <disp>Bollensen</disp>
Lenz.	<id>Lenz.</id> <disp>Lenz</disp>
Will.	<id>Will.</id> <disp>Will</disp>
Fest.	<id>Fest.</id> <disp>Festus</disp>
