Source                                  Plain  Named  Total
----------------------------------------------------------
MBh.                                     7345    446   7791
Man.                                     6042    394   6436
Pañc.                                    4764    253   5017
Rām.                                     4808    170   4978
Bhāg. P.                                 1894    112   2006
Chr.                                     1596     60   1656
Hit.                                     1555     19   1574
Rājat.                                   1326     57   1383
Vikr.                                    1158     27   1185
Śāk.                                     1037     14   1051
Daśak. in Chr.                            990     44   1034
Ragh.                                     931     11    942
Suśr.                                     771     32    803
Rigv.                                     769     21    790
Bhartṛ.                                   774     10    784
Utt. Rāmac.                               724     21    745
Kathās.                                   722     14    736
Hariv.                                    692      6    698
Lass.                                     621     16    637
Yājñ.                                     494      9    503
Megh.                                     493      7    500
Nal.                                      478     11    489
Śiś.                                      466     11    477
Vedāntas. in Chr.                         407     33    440
Kir.                                      421     13    434
Bhag.                                     412      8    420
Böhtl. Ind. Spr.                          407      6    413
Mālat.                                    349     11    360
Bhāṣāp.                                   312     28    340
Mṛcch.                                    235      5    240
Ṛt.                                       232      3    235
Johns. Sel.                               229      4    233
Prab.                                     212      1    213
Mālav.                                    193      4    197
Bhaṭṭ.                                    172      3    175
Kumāras.                                  170      2    172
Mārk. P.                                  158      0    158
Draup.                                    142      2    144
Indr.                                     126      5    131
Arj.                                      127      1    128
Lass. 2. ed.                              124      2    126
Sāv.                                      121      2    123
Gīt.                                      121      0    121
Hiḍ.                                       98      0     98
Kām. Nītis.                                90      4     94
Daśak.                                     92      1     93
Cāṇ.                                       76      0     76
Amar.                                      76      0     76
Nalod.                                     67      1     68
Sund.                                      61      5     66
Dev.                                       52      2     54
Berl. Monatsb.                             51      1     52
Sāh.                                       47      2     49
Pāṇ.                                       43      4     47
Śṛṅgārat.                                  45      0     45
Gorr.                                      29     15     44
Brāhmaṇav.                                 31      0     31
Naiṣ.                                      29      1     30
Caurap.                                    30      0     30
Pañc. pr.                                  28      1     29
ŚKD.                                       27      0     27
Kull.                                      27      0     27
Matsyop.                                   26      0     26
Varāh. Bṛh. S.                             21      2     23
Hit. Pr.                                   21      1     22
Hit. pr.                                   22      0     22
Brāhmaṇ.                                   19      0     19
Śatr.                                      19      0     19
Pañc. ed. orn.                             19      0     19
Śāntiś.                                    16      0     16
Journ. of the German Oriental Society,     14      0     14
Śrut.                                      13      0     13
Ind. St.                                   11      1     12
Kāvya Prak.                                11      0     11
Ghaṭ.                                      11      0     11
Kirāt.                                     10      0     10
Padmap.                                     8      1      9
Pañc. Pr.                                   9      0      9
Kusumāñj.                                   7      2      9
Mahāvīrac.                                  7      1      8
Mahāv.                                      8      0      8
MBh. xii. adhy.                             8      0      8
Brahmav.                                    8      0      8
Yogas.                                      7      0      7
Lass. Anth.                                 7      0      7
Vedāntas.                                   7      0      7
Berol.                                      6      0      6
Daśak. in. Chr.                             6      0      6
Häberl. Anth.                               6      0      6
Sāh. Darp.                                  6      0      6
Chr. p.                                     6      0      6
Śāk. p.                                     6      0      6
Böhtl. Chr.                                 6      0      6
Bhartṛ. Suppl.                              6      0      6
Bhāg.                                       6      0      6
Hit. pr. d. 31, M.M.                        5      0      5
Kāśīkh.                                     5      0      5
Hit. pr. d. 28, M.M.                        5      0      5
Schl.                                       5      0      5
Viṣṇu P.                                    5      0      5
Mit.                                        4      0      4
VP.                                         4      0      4
Hit. pr. d. 42, M.M.                        4      0      4
Journ. of the German Oriental Society       4      0      4
Bhartṛ. suppl.                              4      0      4
Berl. Monatsb. 1864, p.                     4      0      4
Rām. 2, 100, 63 Gorr.                       4      0      4
Hit. 77, 1, M.M.                            4      0      4
Lass. Pentap.                               4      0      4
Skandap., Kāśīkh.                           4      0      4
MBh. 1, adhy.                               4      0      4
Daśarūp.                                    3      0      3
Hit. pr. d. 23, M.M.                        3      0      3
Somad. Nal.                                 3      0      3
Śukas.                                      3      0      3
Hit. pr. d. 8, M.M.                         3      0      3
Br.                                         3      0      3
Siddh. Mukt.                                3      0      3
Rām. ii. adhy.                              3      0      3
Siddh. K.                                   3      0      3
Pāraskara Gṛ. S.                            3      0      3
Hit. pr. d. 41, M.M.                        3      0      3
Cāt.                                        3      0      3
Hit. pr. d. 25, M.M.                        3      0      3
Hit. 95, 1, M.M.                            3      0      3
Hit. 15, 2, M.M.                            3      0      3
Lass. ed.                                   2      0      2
Sāṅkhya Aph.                                2      0      2
Śāk. d. 81, v. r.                           2      0      2
Rām. 2, 90, 23 Gorr.                        2      0      2
Lalit.                                      2      0      2
Hit. pr. d. 32, M.M.                        2      0      2
Hit. 87, 1, M.M.                            2      0      2
Episod. MBh. de Śakuntala                   1      1      2
Hit. pr. d. 44, M.M.                        2      0      2
Śāk. 16, 1, Chezy.                          2      0      2
Hit. 17, 4, M.M.                            2      0      2
Hit. 41, 4, M.M.                            2      0      2
Ānandal.                                    2      0      2
Rām. 1, 52, 26 Gorr.                        2      0      2
Rām. 2, 37, 13 Gorr.                        2      0      2
Stenzler                                    2      0      2
MBh. ii. adhy.                              2      0      2
Hit. 61, 4, M.M.                            2      0      2
Mālat. p.                                   2      0      2
Bṛhaspati                                   2      0      2
Sāh. Darp. p.                               2      0      2
Hit. 29, 5, M.M.                            2      0      2
Ṛt. 1, 17 v. r.                             2      0      2
Lass. Pentap. p.                            2      0      2
Śukasapt.                                   1      1      2
Daśar.                                      2      0      2
Sūryas.                                     2      0      2
Hariv. adhy.                                2      0      2
Hit. 13, 7, M.M.                            2      0      2
Rām. 2, 117, 13 Gorr.                       2      0      2
MBh. iv. adhy.                              2      0      2
Ṛt. 6, 12, v. r.                            2      0      2
Mudrār.                                     2      0      2
Rām. 2, 20, 43 Gorr.                        2      0      2
Śāk. 7, 10, v. r.                           2      0      2
Ṛt. 6, 34, v. r.                            2      0      2
Rām. 2, 60, 15 Gorr.                        2      0      2
Rāmatap. Up.                                2      0      2
Megh. 18, n.                                2      0      2
Rām. 2, 87, 9 Gorr.                         2      0      2
Hit. 78, 8, M.M.                            2      0      2
Haeb. Anth.                                 2      0      2
Hit. 4, 2, M.M.                             2      0      2
Rām. 2, 62, 26 Gorr.                        2      0      2
Hit. 18, 7, M.M.                            2      0      2
Caur.                                       2      0      2
Hit. 44, 6, M.M.                            2      0      2
Govardh. Āryā Saptaśatī,                    2      0      2
Śrutab.                                     2      0      2
Hit. pr. d. 27, M.M.                        2      0      2
