Source                                  Plain  Named  Total
Chānd. Up.                                  2      0      2
Vedāntas. in Chr. 203, 13, cf.              2      0      2
Hemac.                                      2      0      2
Hit. pr. d. 11, M.M.                        2      0      2
Rām. v. sarg.                               2      0      2
Rām. 2, 12, 6 Gorr.                         2      0      2
Hit. pr. d. 19, M.M.                        2      0      2
Hit. pr. d. 15, M.M.                        2      0      2
Rām. 2, 86, 1 Gorr.                         2      0      2
Rām. vi. sarg.                              2      0      2
Pañc. n.                                    2      0      2
MBh. i. adhy.                               2      0      2
Śāk. d. 142, v. r.                          2      0      2
Rām. 2, 100, 64 Gorr.                       2      0      2
Rām. 1, 45, 9 Gorr.                         2      0      2
Hit. pr. d. 10, M.M.                        2      0      2
Rām. 2, 87, 21 Gorr.                        2      0      2
Hit. 76, 6, M.M.                            2      0      2
Hit. pr. d. 14, M.M.                        2      0      2
Mān.                                        2      0      2
Vārt.                                       2      0      2
Hit. pr. d. 2, M.M.                         2      0      2
Skandap. Kāśīkh.                            1      1      2
Hit. pr. d. 6, M.M.                         2      0      2
Hit. 47, 3, M.M.                            2      0      2
Hit. 42, 10, M.M.                           2      0      2
Hit. pr. d. 17, M.M.                        1      0      1
Hit. 76, 8, M.M.                            1      0      1
Bhaviṣyap.                                  1      0      1
Bhāṣāp. p.                                  1      0      1
Amar. 9, v. r.                              1      0      1
Rām. 1, 3, 27 Gorr.                         1      0      1
Rām. 2, 1, 13 Gorr.                         1      0      1
MBh. 3, adhy.                               1      0      1
Vedāntas. in Chr. 216, 3, cf.               1      0      1
Rām. 2, 15, 5 Gorr.                         1      0      1
Śāk. d. 115, v. r.                          1      0      1
Śāk. d. 14, v. r.                           1      0      1
Bṛh. Ār. Up.                                1      0      1
Böhtl. Ind. Spr. 1873, v.r.                 1      0      1
Rām. 2, 1, 42 Gorr.                         1      0      1
Rām. 1, 46, 24 Gorr.                        1      0      1
Śāk. d. 57, v. r.                           1      0      1
Ait. Br.                                    1      0      1
Suśr. 2, 305, 4 sqq.                        1      0      1
Rām. 1, 6, 29 Gorr.                         1      0      1
Daśak. 185, ult.                            1      0      1
Götting. Gel. Anz. 1862, p.                 1      0      1
Indr. 1, 33, v. r.                          1      0      1
Hit. 46, 6, M.M.                            1      0      1
Rām. 2, 55, 6, ed. Seramp.                  1      0      1
Bhag. 18, 42 sqq.                           1      0      1
Śāk. 73, 1, v. r.                           1      0      1
Vedānt. in Chr.                             1      0      1
Rām. 2, 90, 20 Gorr.                        1      0      1
Man. 4, 178, Ātm.                           1      0      1
Hit. 84, 13, M.M.                           1      0      1
Monatsb. d. Berl. Ak. d. Wiss.              1      0      1
Kathā.                                      1      0      1
Rām. 1, 28, 18 Gorr.                        1      0      1
Śāk. d. 32, v.r.                            1      0      1
pr. 47, M.M.                                1      0      1
Rām. 1, 3, 28 Gorr.                         1      0      1
Lenz. App. cr.                              1      0      1
Śāk. d. 80, v. r.                           1      0      1
Hit. 65, 10, M.M.                           1      0      1
Rām. 2, 28, 21 Gorr.                        1      0      1
Ujjvalad. p.                                1      0      1
Monatsber. Berl. Ak. Hist. Phil.            1      0      1
Hit. 65, 5, M.M.                            1      0      1
Hit. 48, 8, M.M.                            1      0      1
Rām. 2, 62, 2, ed. Seramp.                  1      0      1
Fausböll, Dhammap.                          1      0      1
Rām. 2, 1, 20, Gorr.                        1      0      1
Śāk. d. 31, v. r.                           1      0      1
Rām. 1, 5, 12 Gorr.                         1      0      1
Śāk. 146, 8, Chezy.                         1      0      1
Rām. 1, 4, 131 Gorr.                        1      0      1
Indr. 1, 32, v. r.                          1      0      1
Rām. ii. adhy. 122 Gorr.                    1      0      1
Hit. 87, 9, M.M.                            1      0      1
Vedāntas. in Chr. 202, 12, cf.              1      0      1
Rām. 2, 25, 8 Gorr.                         1      0      1
Hit. Pr. n.                                 1      0      1
Hit. 59, 1, M.M.                            1      0      1
Śāk. 43, 4, v. r.                           1      0      1
Viṣṇu P. 481, n.                            1      0      1
Rām. 4, 63, 4, etc.                         1      0      1
Man. 3, 166, ed. Calc.                      1      0      1
Bhāṣāp. 60, cf.                             1      0      1
Rām. 2, 116, 27 Gorr.                       1      0      1
Hit. 10, 6, M.M.                            1      0      1
Hit. 89, 12, M.M.                           1      0      1
Hit. 19, 8, M.M.                            1      0      1
Hit. d. 78, M.M.                            1      0      1
Hit. 86, 4, M.M.                            1      0      1
Bhaṭṭ. 4, 12, Sch.                          1      0      1
Megh. 31 v. r.                              1      0      1
Rigv. vii. 16, 6, ved.                      1      0      1
Rām. 1, 2, 6 Gorr.                          1      0      1
Kuśumāñjali                                 1      0      1
Hit. pr. d. 24, M.M.                        1      0      1
Rām. 2, 15, 18 Gorr.                        1      0      1
Ṛt. 5, 6, v. r.                             1      0      1
Rām. 1, 30, 13 Gorr.                        1      0      1
Journ. of the German Oriental Society, ix. xxi. n.      1      0      1
Rām. 2, 6, 12 Gorr.                         1      0      1
Śāk. 83, 5, v. r.                           1      0      1
Rām. 2, 87, 15 Gorr.                        1      0      1
Hit. 51, 8, M.M.                            1      0      1
Hit. 91, 13, M.M.                           1      0      1
Rām. 2, 48, 59, ed. Seramp.                 1      0      1
Hindu Dr.                                   1      0      1
Hit. 25, 5, M.M.                            1      0      1
Spec. of the Theatre of the Hind.           1      0      1
Rām. 2, 32, 21 Gorr.                        1      0      1
Chr. 287, sqq.                              1      0      1
Häb.                                        1      0      1
Böhtl. Ind. Spr. 138 v. r.                  1      0      1
Rām. 1, 70, 5 Gorr.                         1      0      1
Hit. 34, 3, M.M.                            1      0      1
Rām. 2, 39, 23 Gorr.                        1      0      1
Rām. 2, 20, 4 Gorr.                         1      0      1
Rām. 2, 76, 3, Seramp.                      1      0      1
Govardhana, Āryā Sapt.                      1      0      1
Mahāvīr.                                    1      0      1
Rām. 2, 94, 14 Gorr.                        1      0      1
Rām. 2, 90, 27 Gorr.                        1      0      1
M. 7, 125                                   1      0      1
Rām. 2, 99, 23 Gorr.                        1      0      1
Rām. 1, 44, 23 Gorr.                        1      0      1
Ujjvalad. 251, n.                           1      0      1
Hit. 36, 10, M.M.                           1      0      1
Śāk. 9, 18, v. r.                           1      0      1
Rām. 2, 24, 8 Gorr.                         1      0      1
Śāk. 32, 5, v. r.                           1      0      1
Rām. 2, 104, 5 Gorr.                        1      0      1
Sāh. D. 66, 1, v. r.                        1      0      1
Rām. 2, 63, 2, ed. Seramp.                  1      0      1
Rām. 2, 20, 39 Gorr.                        1      0      1
Hit. 41, 3, M.M.                            1      0      1
Rām. 2, 65, 32, Seramp.                     1      0      1
Man. 5, 115, v. r.                          1      0      1
Rām. 1, 71, 2 Gorr.                         1      0      1
Rām. 1, 45, 40 Gorr.                        1      0      1
Śāk. 103, 4. n.                             1      0      1
Rām. 1, 54, 26 Gorr.                        1      0      1
Rām. 1, 43, 7 Gorr.                         1      0      1
Rām. 2, 111, 3 Gorr.                        1      0      1
Daśak. 7 ult. Pass.                         1      0      1
Rām. 1, 36, 15 Gorr.                        1      0      1
Śāk. 128, 18 Chezy.                         1      0      1
Hit. 90, 1, M.M.                            1      0      1
Rām. 2, 72, 23 Gorr.                        1      0      1
Rām. 2, 91, 2 Gorr.                         1      0      1
Rām. 1, 11, 19 Gorr.                        1      0      1
Mṛcch. 126, 9 v. r.                         1      0      1
Hit. 63, 1, M.M.                            1      0      1
Hit. 77, 3, M.M.                            1      0      1
Rām. 2, 90, 14 Gorr.                        1      0      1
Śātr.                                       1      0      1
Rām. 1, 40, 18 Gorr.                        1      0      1
Rām. 1, 60, 10 Gorr.                        1      0      1
Suśr. 2, 23, 14, etc.                       1      0      1
Rām. 2, 71, 23 Gorr.                        1      0      1
Śāk. d. 37 v. r.                            1      0      1
Rām. 1, 31, 8 Gorr.                         1      0      1
Rām. 6, 51, 3 sqq.                          1      0      1
Rām. 2, 109, 46 Gorr.                       1      0      1
Sāṅkhyak.                                   1      0      1
Suśr. 1, 131, 19, etc.                      1      0      1
Hit. pr. d. 7, M.M. Frequent.               1      0      1
Viṣṇu P. 122, n.                            1      0      1
Rām. 1, 31, 44, Seramp.                     1      0      1
Rām. 1, 50, 9 Gorr.                         1      0      1
Hit. 22, 5, M.M.                            1      0      1
Rām. 2, 123, 14 Gorr.                       1      0      1
Rām. 2, 17, 36 Gorr.                        1      0      1
Hit. 85, 3, M.M.                            1      0      1
Rām. 1, 14, 1 Gorr.                         1      0      1
Häberl.                                     1      0      1
Rām. 2, 63, 2, Seramp.                      1      0      1
Rām. 2, adhy. 91 sqq.                       1      0      1
Ragh. 15, 46, ed. Calc.                     1      0      1
Pāṇ. Sch.                                   1      0      1
Monatsb. Berl. Ak. Hist. Phil.              1      0      1
Rām. 2, 116, 46 Gorr.                       1      0      1
Rām. 2, 109, 22 Gorr.                       1      0      1
Rām. 2, 52, 18, Seramp.                     1      0      1
Rām. 1, 56, 9 Gorr.                         1      0      1
Yoga.                                       1      0      1
Rām. 3, 44, 11, f.                          1      0      1
Rām. 2, 43, 30 Gorr.                        1      0      1
Hit. 38, 2, M.M.                            1      0      1
Śārṅg.                                      1      0      1
Rām. 2, 122, 28 Gorr.                       1      0      1
Śāk. 70, 14 v. r.                           1      0      1
Rām. 1, 45, 32 Gorr.                        1      0      1
Rām. 2, 73, 2 Gorr.                         1      0      1
Hit. 60, 6, M.M.                            1      0      1
Bhartṛ. 1, 97, v. r.                        1      0      1
Monatsb. d. Berl. Ak. Hist. Phil.           1      0      1
Man. 7, 20, v. r.                           1      0      1
Häberl. Anthol.                             1      0      1
Rām. 1, 37, 15 Gorr.                        1      0      1
Amarakoṣa                                   1      0      1
Śāṇḍilyas.                                  1      0      1
cod. Petersb. p.                            1      0      1
Rām. 2, 57, 18, ed. Seramp.                 1      0      1
MBh. 2, 2298, Par.                          1      0      1
Rām. 2, 79, 19 Gorr.                        1      0      1
Hit. 7, 2, M.M.                             1      0      1
Hit. pr. d. 43, M.M.                        1      0      1
Hit. 87, 7, M.M.                            1      0      1
Daśak. 106, 6, cf. Wils., n.                1      0      1
Rām. 2, 5, 18 Gorr.                         1      0      1
Hit. pr. d. 12, M.M.                        1      0      1
Rām. 2, 62, 15 Gorr.                        1      0      1
Rām. 1, 72, 21 Gorr.                        1      0      1
Rām. 2, 1, 29 Gorr.                         1      0      1
Upak.                                       1      0      1
Rām. 2, 32, 35 Gorr.                        1      0      1
Man. 6, 10, Lois.                           1      0      1
Daśak. 111, 12, Wils.                       1      0      1
Mālav. 69, 13 v. r.                         1      0      1
Śāk. 104, 23 v. r.                          1      0      1
Hit. 27, 3, M.M.                            1      0      1
Hit. 28, 8, M.M.                            1      0      1
Hit. 67, 20, v. r.                          1      0      1
Hit. 46, 9, M.M.                            1      0      1
Rām. 2, 83, 16 Gorr.                        1      0      1
Rām. 1, 27, 20 Gorr.                        1      0      1
Böhtl. Roth. Sskr. Wörterbuch.              1      0      1
Hit. 110, 20, v. r.                         1      0      1
Rām. 2, 84, 9 Gorr.                         1      0      1
Rām. 1, 43, 4 Gorr.                         1      0      1
Hit. pr. d. 45, M.M.                        1      0      1
Śvet. Up.                                   1      0      1
Rām. 2, 19, 13 Gorr.                        1      0      1
Rām. 2, 8, 43 Gorr.                         1      0      1
Bhartṛ. 2, 59 v. r.                         1      0      1
Hit. 80, 1, M.M.                            1      0      1
Rām. 1, 3, 58 Gorr.                         1      0      1
Śāk. d. 8, v. r.                            1      0      1
Hit. 42, 7, M.M.                            1      0      1
Johns.                                      1      0      1
Häberl. in Anth.                            1      0      1
Rām. 1, 34, 9 Gorr.                         1      0      1
Rām. 2, 85, 18 Gorr.                        1      0      1
Rām. 2, 80, 24 Gorr.                        1      0      1
Rām. 1, 4, 40 Gorr.                         1      0      1
Prab. 117, 18, v.r.                         1      0      1
Rām. 2, 47, 1, Seramp.                      1      0      1
Rām. 1, 13, 31 Gorr.                        1      0      1
Rām. 1, 80, 21 Gorr.                        1      0      1
Tattvas. 41 Ball.                           1      0      1
Sund. 3, 13, cf.                            1      0      1
Rām. Pr.                                    1      0      1
Megh. 96, v. r.                             1      0      1
Śāk. d. 40 v. r.                            1      0      1
Rām. 2, 45, 32, Gorr.                       1      0      1
Rām. 2, 12, 36 Gorr.                        1      0      1
Megh. 11, s.                                1      0      1
Śāk. 6, 15, v. r.                           1      0      1
Hit. 31, 8, M.M.                            1      0      1
Rām. 2, 50, 13, Seramp.                     1      0      1
Hit. 28, 10, M.M.                           1      0      1
Bhartṛ. 3, 59, v. r.                        1      0      1
Rām. 1, 22, 14 Gorr.                        1      0      1
Āśval. S.                                   1      0      1
Daśak. 160, 1, bel.                         1      0      1
Pāṇ. 5, 1, 46, Sch.                         1      0      1
Suśr. 1, 196, 21 sqq.                       1      0      1
MBh. 1, 335, etc.                           1      0      1
Rām. 1, 31, 6 Gorr.                         1      0      1
Daśak. 62, 1 bel.                           1      0      1
Rām. 2, 90, 21 Gorr.                        1      0      1
Hit. 90, 10, M.M.                           1      0      1
Skanda P., Kāśīkh.                          1      0      1
Śāk. 23, 12 v. r.                           1      0      1
Rām. 1, 77, 12 Gorr.                        1      0      1
Ghaṭak.                                     1      0      1
Rām. 2, 109, 37 Gorr.                       1      0      1
Rām. 2, 113, 5 Gorr.                        1      0      1
Rām. 1, 80, 11 Gorr.                        1      0      1
Yājñ. 2, 86 sqq.                            1      0      1
Rām. 2, 81, 2 Gorr.                         1      0      1
Hit. 63, 2, M.M.                            1      0      1
Indr. 1, 30, v. r.                          1      0      1
Rām. 2, 31, 27 Gorr.                        1      0      1
Rām. 1, 15, 18 Gorr.                        1      0      1
Rām. 2, 20, 15 Gorr.                        1      0      1
Ṛt. 6, 11, v. r.                            1      0      1
Rām. 2, 117, 3 Gorr.                        1      0      1
Hit. pr. d. 48, M.M.                        1      0      1
Rām. 2, 83, 22 Gorr.                        1      0      1
Rām. 2, 68, 22, Seramp.                     1      0      1
Rām. 2, 107, 19 Gorr.                       1      0      1
MBh. 1, 2367 sqq.                           1      0      1
Śāk. d. 135, v. r.                          1      0      1
Man. 7, 149, v. r.                          1      0      1
Rām. 1, 13, 28 Gorr.                        1      0      1
Rām. 3, 2, 17 Gorr.                         1      0      1
Hit. 91, 1, M.M.                            1      0      1
Rām. 1, 13, 32, Seramp.                     1      0      1
Kusumāñj. transl.                           1      0      1
MBh. 12,5307                                1      0      1
Ṛt. 1, 24 v.r.                              1      0      1
Rām. 1, 30, 11 Gorr.                        1      0      1
Rām. 1, 38, 11 Gorr.                        1      0      1
Hit. 47, 5, M.M.                            1      0      1
Rām. 2, 65, 2 Gorr.                         1      0      1
Śāk. 141, 10 Chezy.                         1      0      1
Śiś. 1, sqq.                                1      0      1
Hit. pr. d. 1, M.M.                         1      0      1
Vāsavad.                                    1      0      1
Mṛcch. 27, 2, Prākṛ.                        1      0      1
Rām. 2, 20, 26 Gorr.                        1      0      1
Hit. 86, 2, M.M.                            1      0      1
Rām. 2, 97, 25 Gorr.                        1      0      1
Pānch.                                      1      0      1
Rām. 1, 60, 27 Gorr.                        1      0      1
Bhāg. P. 4, 25, 9 sqq.                      1      0      1
Rām. 2, 111, 12 Gorr.                       1      0      1
Rām. 2, 30, 2 Gorr.                         1      0      1
Ṛt. 6, 8, v. r.                             1      0      1
Rām. 1, 123, 14 Gorr.                       1      0      1
Navar.                                      1      0      1
Mālatīm.                                    1      0      1
Johns. Sel. 90, n.                          1      0      1
Rām. 1, 45, 26 Gorr.                        1      0      1
Hit. pr. 9, M.M.                            1      0      1
Ragh. 12, 45, Calc.                         1      0      1
Rām. 1, 32, 13 Gorr.                        1      0      1
Hit. 51, 6, M.M.                            1      0      1
Rām. 2, 51, 13, ed. Seramp.                 1      0      1
Rām. 2, 109, 25 Gorr.                       1      0      1
Daśak. p.                                   1      0      1
Rām. 3, 70, 2, i. e.                        1      0      1
Kūmar.                                      1      0      1
Rām. 1, 46, 26 Gorr.                        1      0      1
MBh. 13, 2422, sqq.                         1      0      1
Rām. 1, 45, 13 Gorr.                        1      0      1
Rām. 2, 42, 2 Gorr.                         1      0      1
Rām. 2, 45, 22 Gorr.                        1      0      1
Bhartṛ. 2, 10 v. r.                         1      0      1
Hit. 11, 4, M.M.                            1      0      1
Hit. 32, 4, M.M.                            1      0      1
Journ. of the German Oriental               0      1      1
Rām. 2, 61, 34 Gorr.                        1      0      1
Hit. 39, 4, M.M.                            1      0      1
Rām. 2, 21, 22 Gorr.                        1      0      1
Mah.                                        1      0      1
Bhāg. P. 2, 7, 5, viz.                      1      0      1
Rām. 1, 42, 15 Gorr.                        1      0      1
Hit. pr. d. 47, M.M. n.                     1      0      1
Hit. 91, 6, M.M.                            1      0      1
Bhāṣāp. 62, cf.                             1      0      1
Rām. 1, 61, 22 Gorr.                        1      0      1
Vikr. 34, v. r.                             1      0      1
Hit. 52, 2, M.M.                            1      0      1
Hit. Pr. d. 9, v. r.                        1      0      1
Pārask.                                     1      0      1
Man. 3, 46, sqq.                            1      0      1
Prātiś.                                     1      0      1
Śakuntalop.                                 1      0      1
Rām. 2, 62, 17 Gorr.                        1      0      1
Rām. 1, 77, 15 Gorr.                        1      0      1
Rām. 1, 30, 17 Gorr.                        1      0      1
Journ. of the German Oriental Society, xiv. 756, sqq.      1      0      1
Rām. iv. sarg.                              1      0      1
Prab. 40, 6, v. r.                          1      0      1
Hit. 85, 1, M.M.                            1      0      1
Bhaṭṭik.                                    1      0      1
Journ. As. 1856, p.                         1      0      1
Rām. 2, 68, 17, ed. Seramp.                 1      0      1
Vetālap.                                    1      0      1
MBh. v. adhy.                               1      0      1
Atharva-V.                                  1      0      1
Rām. 2, 32, 22 Gorr.                        1      0      1
Rām. 2, 15, 20 Gorr.                        1      0      1
Kos. ed. orn.                               1      0      1
Hit. 16, 3, M.M.                            1      0      1
Hit. 51, 10, M.M.                           1      0      1
Hind. Theat. 2. ed. i. 302, n.              1      0      1
Hit. 14, 7, M.M.                            1      0      1
Ratnāv.                                     1      0      1
Rām. 1, 30, 14 Gorr.                        1      0      1
Vikr. 8, 1, v. r.                           1      0      1
Hit. 62, 9, M.M.                            1      0      1
Monatsber. der Berliner Ak. Hist. Phil. 1864, p.      1      0      1
Rām. 2, 111, 16 Gorr.                       1      0      1
Hariv. 1592, etc.                           1      0      1
Hind. Theatr. 2. ed. 183, n.                1      0      1
Rām. 2, 31, 25 Gorr.                        1      0      1
Rām. 2, 18, 47 Gorr.                        1      0      1
Rām. 2, 61, 44, Seramp.                     1      0      1
MBh. 13, 7329 sqq.                          1      0      1
Daśak. in Chr. 190, 24, Par.,               1      0      1
Rām. 2, 52, 10 Gorr.                        1      0      1
Pāṇ. 2, 3, 60, Sch.                         1      0      1
Pañc. i. e.                                 1      0      1
Govardh. Āryā Sapt.                         1      0      1
Rām. 2, 109, 14 Gorr.                       1      0      1
Rām. 2, 91, 24, v. r.                       1      0      1
Tarkasaṃgr.                                 1      0      1
Amar. 47, Sch.                              1      0      1
Śāk. 69, 15, v. r.                          1      0      1
Man. 3, 48, cf.                             1      0      1
Rām. 2, 114, 13 Gorr.                       1      0      1
Jaṭādh.                                     1      0      1
Ujjvalad. 255, n.                           1      0      1
Rām. 2, 26, 18 Gorr.                        1      0      1
Rām. 1, 54, 5 Gorr.                         1      0      1
Hit. 12, 2, M.M.                            1      0      1
Vāsav.                                      1      0      1
Hit. pr. d. 36, M.M.                        1      0      1
Hit. 14, 4, M.M.                            1      0      1
Hit. 29, 6, M.M.                            1      0      1
Śāk. d. 116, v. r.                          1      0      1
Śāk. 138, 1, Chezy.                         1      0      1
Rām. 1, 22, 9 Gorr.                         1      0      1
Rām. 1, 66, 12, Seramp.                     1      0      1
Kos.                                        1      0      1
Hit. 46, 2, M.M.                            1      0      1
Rām. 2, 123, 15 Gorr.                       1      0      1
Hit. 32, 8, M.M.                            1      0      1
Man. 3, 194, etc.                           1      0      1
Rām. 1, 67, 8 Gorr.                         1      0      1
Hit. 58, 10, M.M.                           1      0      1
Hit. 83, 6, M.M.                            1      0      1
Rām. 2, 46, 32, Seramp.                     1      0      1
Bhartṛ. 2, 27, cf.                          1      0      1
Rām. 2, 66, 26, ed. Seramp.                 1      0      1
MBh. 1, 5832, f.                            1      0      1
Rām. 2, 91, 12 Gorr.                        1      0      1
Rām. 2, 114, 33 Gorr.                       1      0      1
Hit. 11, 6, M.M.                            1      0      1
Hit. 31, 3, M.M.                            1      0      1
Pāṇ. ii. 1, 36, Sch.                        1      0      1
Colebr. Essays,                             1      0      1
Kusumāñjali                                 1      0      1
Hit. 84, 7, M.M.                            1      0      1
Rām. 1, 39, 7 Ser.                          1      0      1
Hit. 38, 10, M.M.                           1      0      1
Rām. 2, 42, 14 Gorr.                        1      0      1
Kātyāyana S.                                1      0      1
Rām. 2, 68, 17 Gorr.                        1      0      1
Hit. ii. c. 161, M.M.                       1      0      1
Hit. 10, 7, M.M.                            1      0      1
Rām. 1, 12, 6 Gorr.                         1      0      1
Atharv.-Ved.                                1      0      1
Hind. Th. i. 2 ed. 134, n.,                 1      0      1
Hit. 61, 7, M.M.                            1      0      1
Rām. 1, 44, 8 sqq. Gorr.                    1      0      1
Rām. 2, 56, 39, Seramp.                     1      0      1
Rām. 2, 42, 9 Gorr.                         1      0      1
Mālat. 1, 5, v. r.                          1      0      1
Hit. 14, 6, M.M.                            1      0      1
Rām. 2, 71, 29, Seramp.                     1      0      1
Rām. 2, 104, 43, Gorr.                      1      0      1
Rām. 2, 73, 13, Gorr.                       1      0      1
Śāk. 59, 14, v. r.                          1      0      1
