0078 Amar.           = Amaruśataka, ed. Calcutt.
0002 Ānandal.        = Ānandalaharī, in Häberlin's Sanskrit Anthology.
0128 Arj.            = Arjunasamāgama, an episode of the MBh., ed. Bopp.
0004 Ujjvalad.       = Ujjvaladatta, ed. Aufrecht.
0413 Bhag.           = Bhagavadgītā, ed. Schlegel.
1887 Bhāg. P.        = Bhāgavata-Purāṇa, ed. Burnouf.
0796 Bhartṛ.         = Bhartṛhari, ed. Bohlen.
0311 Bhāṣāp.         = Bhāṣāpariccheda, in Bibliotheca Indica and in my S
0179 Bhaṭṭ.          = Bhaṭṭikāvya, ed. Calc.
0001 Bhaviṣyap.      = Bhaviṣya-Purāṇa.
0006 Böhtl. Chr.     = Böhtlingk, Sanskrit Chrestomathy.
0413 Böhtl. Ind. Spr. = Böhtlingk. Indische Sprüche (Indian Sentences).
0004 Br.             = Brockhaus.
0015 Brāhmaṇ.        = Brāhmaṇavilāpa, an episode of the MBh., ed. Bopp.
0028 Brāhmaṇav.      = Brāhmaṇavilāpa, an episode of the MBh., ed. Bopp.
0003 Brahmav. P.     = Brahmavaivarta-Purāṇa, ed. Stenzler.
1093 Śāk.            = Śākuntala, ed. Böhtlingk.
0013 Śāntiś.         = Śāntiśataka, in Häberlin's Sanskrit Anthology.
0001 Śārṅg.          = Śārṅgadhara-Paddhati (MSS. used by Böhtl.).
0019 Śatr.           = Śatruṃjayamāhātmya, ed. A. Weber.
0070 Cāṇ.            = Cāṇakya, published in Häberlin's Anthology, and by
0003 Cāt.            = Cātaka, in Zeitschrift für die Kunde des Morgenlan
0002 Caur.           = Caurapañcāśikā, in Bohlen's ed. of Bhartṛhari.
0027 Caurap.         = Caurapañcāśikā, in Bohlen's ed. of Bhartṛhari.
3006 Chr.            = my Sanskrit Chrestomathy.
0455 Śiś.            = Śiśupālavadha, 2. ed. Calc.; the ninth book in my 
0026 ŚKD.            = Śabdakalpadruma.
0035 Śṛṅgārat.       = Śṛṅgāratilaka, ed. Gildemeister, in his edition of
0014 Śrut.           = Śrutabodha, ed. Brockhaus.
0004 Śukas.          = Śukasaptati (MSS. of St. Petersburg).
0001 Śvet. Up.       = Śvetāśvataropaniṣad, in Bibliotheca Indica.
1047 Daśak.          = Daśakumāracarita, ed. Wilson, partly in my Chr.
0002 Daśar.          = Daśa-Rūpa, ed. Fitz-Edward Hall.
0052 Dev.            = Devīmāhātmya, ed. Poley.
0142 Draup.          = Draupadīpramātha, an episode of the MBh., ed. Bopp
0010 Ghaṭ.           = Ghaṭakarpara, ed. Calc.
0120 Gīt.            = Gītagovinda. ed. Lassen.
0001 Gött. Gel. Anz. = Göttinger Gelehrte Anzeigen, i. e. ‘Scientific Rep
0001 Govardhana, Āryā Sapt. = Govardhana Āryāsaptaśatī, ed. Soma Nath Mookerjea.
0001 Govardh. Āryā Sapt. = Govardhana Āryāsaptaśatī, ed. Soma Nath Mookerjea.
0001 Govardh. Āryā Saptaśatī = Govardhana Āryāsaptaśatī, ed. Soma Nath Mookerjea.
0001 Häb.            = Kāvya Sangraha, ‘A Sanskrit Anthology,’ by John Hä
0002 Häberl.         = Kāvya Sangraha, ‘A Sanskrit Anthology,’ by John Hä
0001 Häberl. Chr.    = Kāvya Sangraha, ‘A Sanskrit Anthology,’ by John Hä
0006 Häberl. Anth.   = Kāvya Sangraha, ‘A Sanskrit Anthology,’ by John Hä
0001 Häberl. Anthol. = Kāvya Sangraha, ‘A Sanskrit Anthology,’ by John Hä
0690 Hariv.          = Harivaṃśa, ed. Calc.
0097 Hiḍ.            = Hiḍimbavadha, an episode of the MBh., ed. Bopp.
1834 Hit.            = Hitopadeśa, ed. of Lassen, and when followed by M.
0130 Indr.           = Indralokāgamana, an episode of the MBh., ed. Bopp.
0228 Johns. Sel.     = Johnson's Selections from the Mahābhārata.
0085 Kām. Nītis.     = Kāmandakīya Nītisāra, in Bibliotheca Indica.
0001 Kāmand. Nītis.  = Kāmandakīya Nītisāra, in Bibliotheca Indica.
0693 Kathās.         = Kathāsaritsāgara, ed. Brockhaus.
0011 Kāvya Prak.     = Kāvya Prakaśa, 2. ed. Calcutta, 1865.
0000 Kāvya Pr.       = Kāvya Prakaśa, 2. ed. Calcutta, 1865.
0423 Kir.            = Kirātārjunīya, 2. ed. Calc., 1846, and the fifth b
0010 Kirāt.          = Kirātārjunīya, 2. ed. Calc., 1846, and the fifth b
0026 Kull.           = Kullūka Schol. ed. Man.
0154 Kumāras.        = Kumārasaṃbhava, ed. Stenzler.
0008 Kusumāñj.       = Kusumāñjali, ed. Cowell.
0002 Lalit.          = Lalitavistara, in Bibliotheca Indica.
0777 Lass.           = Lassen, Anthologia Sanskritica.
0007 Lass. Pentap.   = Lassen, Commentatio de Pentapotamia Indica.
0009 Mahāv.          = Mahāvīracarita, ed. Trithen.
0001 Mahāvīr.        = Mahāvīracarita, ed. Trithen.
0007 Mahāvīrac.      = Mahāvīracarita, ed. Trithen.
0486 Mālat.          = Mālatīmādhava, ed. Calc.
0194 Mālav.          = Mālavikāgnimitra, ed. Tullberg.
5949 Man.            = Mānavadharmaśāstra, ed. Haughton and Lois. (i. e. 
0158 Mārk. P.        = Mārkaṇḍeya-Purāṇa, in Bibliotheca Indica.
0022 Matsyop.        = Matsyopākhyāna, an episode of the MBh., ed. Bopp.
7313 MBh.            = Mahābhārata, ed. Calc.
0513 Megh.           = Meghadūta, ed. Gildemeister. 
0004 Mit.            = Mitākṣarā, ed. Calc., 1829.
0230 Mṛcch.          = Mṛcchakaṭikā, ed. Stenzler.
0002 Mudrār.         = Mudrārākṣasa, ed. Calc.
0031 Naiṣ.           = Naiṣadhacarita, ed. Calc.
0478 Nal.            = Nala, an episode of the MBh. ed. Bopp.; a numeral 
0091 Nalod.          = Nalodaya, ed. Benary.
0001 Nyāya S.        = Nyāya-Sūtrāṇi of Gotama, ed. Calc.
0011 Padmap.         = Padma-Purāṇa, ed. Wollheim.
0048 Pāṇ.            = Pāṇini, ed. Böhtlingk.
4756 Pañc.           = Pañcatantra, ed. Kosegarten; the numerals are used
0218 Prab.           = Prabodhacandrodaya, ed. Brockhaus.
0958 Ragh.           = Raghuvaṃśa, ed. Stenzler.
0002 Rāgh.           = Rāghavānanda, Sch. ad Man.
1305 Rājat.          = Rājataraṅgiṇī, ed. Troyer, the fifth book in my Ch
5122 Rām.            = Rāmāyaṇa, the two first books after the ed. of Sch
0003 Ratnāv.         = Ratnāvalī, 2. ed. Calc.
0005 Schl.           = Friedrich Schlegel, German Romantic philosopher an
0345 Gorr.           = Gaspare Gorresio, Italian Orientalist and Indologi
0762 Rigv.           = Rigveda.
0244 Ṛt.             = Ṛtusaṃhāra, ed. Bohlen, the first chapter also in 
0049 Sāh. D.         = Sāhitya Darpaṇa, in Bibliotheca Indica.
0008 Sāh. Darp.      = Sāhitya Darpaṇa, in Bibliotheca Indica.
0002 Sāṅkhya Aph.    = Sāṅkhya Sūtras, in Hall's ed. of Saṅkhya Pravacana
0122 Sāv.            = Sāvitryupākhyāna, an episode of the MBh., ed. Bopp
0003 Siddh. K.       = Siddhāntakaumudi, ed. Calc., 4to.
0003 Siddh. Mukt.    = Siddhānta Muktāvali, ed. Roër in Bibl. Ind. 
0001 Skandap. Kāśikh. = Kāśikhaṇḍa, a part of the Skanda-Purāṇa (MSS.).
0775 Suśr.           = Suśruta, ed. Calc.; the first numeral denotes the 
0062 Sund.           = Sundopasundopākhyāna, an episode of the MBh., ed. 
0001 Upak.           = Upakośa, an episode of the Kathās., ed. Brockhaus.
0748 Utt. Rāmac.     = Uttara Rāmacarita, 2. ed. Calc., 1862.
0002 Varāh. Bṛh.     = Varāhamihira's Bṛhajjātaka.
0018 Varāh. Bṛh. S.  = Varāhamihira's Bṛhatsaṃhitā.
0003 Vārt.           = Vārtika.
0385 Vedāntas.       = Vedāntasāra, in my Chrestomathy.
1167 Vikr.           = Vikramorvaśī, ed. Bollensen. 
0001 Vop.            = Vopadeva, ed. Böhtlingk.
0011 Ind. St.        = Weber, Indische Studien, i. e. ‘Essays concerning 
0476 Yājñ.           = Yājñavalkya, ed. Stenzler.
0007 Yogas.          = Yogasūtrāṇi, ed. Allahabad, 1852-53.
48713 All <ls> tags
