Lnum	basehw	compound	resolution	in_sanhw1
3	aMSa	An-	anaMSa	True
3	aMSa	Eka-	ekAMSa	True
3	aMSa	Caturtha-	caturTAMSa	True
3	aMSa	Tṛtīya-	tftIyAMSa	True
3	aMSa	Tri-	tryaMSa	True
3	aMSa	Dvi-	dvyaMSa	True
4	aMSu	Gharma-	GarmAMSu	True
4	aMSu	Tigma-	tigmAMSu	True
4	aMSu	Tīkṣṇa-	tIkzRAMSu	True
4	aMSu	Daśana-	daSanAMSu	True
4	aMSu	Divya-	divyAMSu	True
4	aMSu	Dīpta-	dIptAMSu	True
4	aMSu	Prāleya-	prAleyAMSu	True
4	aMSu	Sahasra-	sahasrAMSu	True
4	aMSu	Sudhā-	suDAMSu	True
4	aMSu	Haṃsa-	haMsAMSu	True
4	aMSu	Hima-	himAMSu	True
5	aMSuka	Cīna-	cInAMSuka	True
5	aMSuka	Tanu-	tanvaMSuka	False
5	aMSuka	Patākā-	patAkAMSuka	True
5	aMSuka	Sita-	sitAMSuka	True
5	aMSuka	Stana-	stanAMSuka	True
22	akfta	Kṛta-	kftAkfta	True
26	akza	Kamala-patra-	kamala-patrAkza	False
26	akza	Kūṭa-	kUwAkza	True
26	akza	Jāla-	jAlAkza	True
26	akza	Tāmra-	tAmrAkza	True
26	akza	Tāraka-	tArakAkza	True
26	akza	Tryakṣa	tryakza	True
26	akza	Daśākṣa	daSAkza	True
26	akza	Padma-	padmAkza	True
26	akza	Puṇḍarīka-	puRqarIkAkza	True
26	akza	Puṣkara-	puzkarAkza	True
26	akza	Manda-	mandAkza	True
26	akza	Lohita-	lohitAkza	True
26	akza	Sahasra-	sahasrAkza	True
26	akza	Su-	svakza	True
27	akza	Eka-	ekAkza	True
28	akzan	Tryakṣan	tryakzan	True
30	akzara	An-	anakzara	True
30	akzara	Eka-	ekAkzara	True
30	akzara	Ghuṇa-	GuRAkzara	True
30	akzara	Catur-	caturakzara	True
30	akzara	Tryakṣara	tryakzara	True
30	akzara	Ṣaḍakṣara	zaqakzara	True
32	akzi	Agra-	agrAkzi	True
41	agAra	Agnyagāra	agnyagAra	True
42	aguru	Kāla-	kAlAguru	True
43	agni	An-	anagni	True
43	agni	Ākita-	AkitAgni	False
43	agni	An-āhita-	an-AhitAgni	False
43	agni	Kaṭa-	kawAgni	True
43	agni	Kopa-	kopAgni	False
43	agni	Jñāna-	jYAnAgni	True
43	agni	Tṛṇa-	tfRAgni	True
43	agni	Dakṣiṇa-	dakziRAgni	True
43	agni	Dā̆va-	dĂvAgni	False
43	agni	Pañcāgni	paYcAgni	True
43	agni	Rājāgni	rAjAgni	False
43	agni	Viṣa-	vizAgni	True
43	agni	Śoka-	SokAgni	True
43	agni	Huta-	hutAgni	True
57	agra	An-eka-	an-ekAgra	False
57	agra	Kuśa-	kuSAgra	True
57	agra	Daṃṣṭrā-	daMzwrAgra	False
57	agra	Dakṣiṇā-	dakziRAgra	True
57	agra	Druma-	drumAgra	True
57	agra	Nakha-	naKAgra	True
57	agra	Naga-	nagAgra	True
57	agra	Nāsikā-	nAsikAgra	True
57	agra	Maṇḍala-	maRqalAgra	True
58	agraga	Senā-	senAgraga	True
60	agraja	Gada-	gadAgraja	True
62	agratas	Bhairava-	BEravAgratas	True
63	agrasara	Pra-	prAgrasara	True
70	agrya	Dvija-	dvijAgrya	True
72	aGa	An-	anaGa	True
76	aNka	Kṛta-	kftANka	True
76	aNka	Jambāla-	jambAlANka	False
76	aNka	Makara-	makarANka	True
76	aNka	Mṛga-	mfgANka	True
76	aNka	Valgā-	valgANka	True
76	aNka	Svanāmāṅka	svanAmANka	True
78	aNkura	Abhilāṣa-	aBilAzANkura	False
78	aNkura	Kula-	kulANkura	True
78	aNkura	Daṃṣṭrā-	daMzwrANkura	False
78	aNkura	Rada-	radANkura	True
78	aNkura	Viṣa-	vizANkura	True
78	aNkura	Vīja-	vIjANkura	False
78	aNkura	Smara-	smarANkura	False
80	aNkuSa	Ati-	atyaNkuSa	True
80	aNkuSa	An-	anaNkuSa	True
80	aNkuSa	Niraṅkuśa	niraNkuSa	True
84	aNga	An-	anaNga	True
84	aNga	An-a-vadya-	an-a-vadyANga	False
84	aNga	Aṣṭāṅga	azwANga	True
84	aNga	Uttama-	uttamANga	True
84	aNga	Eka-	ekANga	True
84	aNga	Kāla-	kAlANga	True
84	aNga	Kuṣṭha-	kuzWANga	True
84	aNga	Kṛśa-	kfSANga	True
84	aNga	Khaṭvā-	KawvANga	True
84	aNga	Catur-	caturaNga	True
84	aNga	Citra-	citrANga	True
84	aNga	Tanu-	tanvaNga	True
84	aNga	Tanū-ja-	tanU-jANga	False
84	aNga	Niraṅga	niraNga	True
84	aNga	Pañcāṅga	paYcANga	True
84	aNga	Mahā-	mahANga	True
84	aNga	Rakta-	raktANga	True
84	aNga	Ratha-	raTANga	True
84	aNga	Vakra-	vakrANga	True
84	aNga	Vara-	varANga	True
84	aNga	Vi-citra-	vi-citrANga	False
84	aNga	Hīna-	hInANga	True
84	aNga	Hema-	hemANga	True
89	aNgaRa	Raṅga-	raNgANgaRa	True
89	aNgaRa	Harmya-	harmyANgaRa	False
92	aNgada	Citra-	citrANgada	True
93	aNgana	Raṇa-	raRANgana	True
