Lnum	basehw	compound	resolution	in_sanhw1
94	aNganA	Kula-	kulANganA	True
94	aNganA	Vara-	varANganA	True
98	aNgAra	Kula-	kulANgAra	True
98	aNgAra	Mṛta-	mftANgAra	True
99	aNgAraka	Sa-	sANgAraka	True
100	aNgin	Catur-	caturaNgin	True
101	aNgiras	Tṛṇa-soma-	tfRa-somANgiras	False
105	aNgula	Pañcāṅgula	paYcANgula	True
107	aNguli	Latā-	latANguli	True
114	aNGri	Śīrṇa-	SIrRANGri	True
115	acala	Kula-	kulAcala	True
115	acala	Tuhina-	tuhinAcala	True
115	acala	Mahā-	mahAcala	True
116	acCa	Su-	svacCa	True
119	aja	Vana-	vanAja	True
126	ajina	Kṛṣṇa-	kfzRAjina	True
127	ajira	Raṇa-	raRAjira	True
138	aYj	A-vyakta	a-vyakta	False
139	aYjana	Nirañjana	niraYjana	True
139	aYjana	Rasa-	rasAYjana	True
140	aYjali	Ud-	udaYjali	True
140	aYjali	Karṇa-	karRAYjali	True
140	aYjali	Kṛta-	kftAYjali	True
140	aYjali	Jala-	jalAYjali	True
140	aYjali	Brahmāñjali	brahmAYjali	True
144	awana	Bhikṣā-	BikzAwana	True
150	awwahAsa	Sa-aṭṭahāsa + m	sa-awwahAsa + m	False
153	awyA	Vṛthā-	vfTAwyA	True
159	aRu	Parama-	paramARu	True
163	aRqa	Brahmāṇḍa	brahmARqa	True
163	aRqa	Meṣa-	mezARqa	True
165	aRqaja	Kāla-	kAlARqaja	True
172	atikrama	Duratikrama	duratikrama	True
176	atiTi	Deśa-	deSAtiTi	True
200	atiSaya	Niratiśaya	niratiSaya	True
200	atiSaya	Sa-	sAtiSaya	True
214	atyaya	An-	anatyaya	True
214	atyaya	Kāla-	kAlAtyaya	True
214	atyaya	Jala-	jalAtyaya	True
214	atyaya	Tapa-	tapAtyaya	True
214	atyaya	Duratyaya	duratyaya	True
214	atyaya	Niratyaya	niratyaya	True
214	atyaya	Mahā-	mahAtyaya	True
214	atyaya	Su-mahā-	su-mahAtyaya	False
227	adana	Phala-	PalAdana	True
234	adButa	Atyadbhuta	atyadButa	True
234	adButa	Mahā-	mahAdButa	True
239	adri	Asta-	astAdri	True
239	adri	Kuta-	kutAdri	False
239	adri	Tuṣāra-, tuhina-	tuzAra-, tuhinAdri	False
249	aDara	Khaṇḍtta-	KaRqttADara	False
250	aDarozWa	Aṅguli-sam-vṛta-	aNguli-sam-vftADarozWa	False
250	aDarozWa	Vimba-phala-	vimba-PalADarozWa	False
254	aDika	Eka-	ekADika	True
254	aDika	Sarva-dāna-	sarva-dAnADika	False
254	aDika	Prāṇa-	prARADika	True
254	aDika	Varṣa-śata-	varza-SatADika	False
254	aDika	Navatiṃ navādhikām	navatiM navADikAm	False
254	aDika	Vayodhika	vayoDika	True
254	aDika	Adhikādhika	aDikADika	True
255	aDikaraRa	Dharma-	DarmADikaraRa	True
255	aDikaraRa	Rāma-	rAmADikaraRa	True
255	aDikaraRa	Samāna-	samAnADikaraRa	True
256	aDikAra	Tāmbūla-	tAmbUlADikAra	True
256	aDikAra	Dharma-	DarmADikAra	True
256	aDikAra	Pṛtanā-	pftanADikAra	False
256	aDikAra	Samāna-	samAnADikAra	True
256	aDikAra	Hṛta-	hftADikAra	True
258	aDikArin	Dharma-	DarmADikArin	True
260	aDigama	Dus-	dusaDigama	False
261	aDigamana	Dāra-	dArADigamana	True
269	aDipa	Amara-	amarADipa	True
269	aDipa	Sa-amara-	sa-amarADipa	False
269	aDipa	Jana-	janADipa	True
269	aDipa	Jala-	jalADipa	True
269	aDipa	Tārā-	tArADipa	True
269	aDipa	Daṇḍa-	daRqADipa	True
269	aDipa	Daṇḍa-dhara-	daRqa-DarADipa	False
269	aDipa	Deva-	devADipa	True
269	aDipa	Dvāra-	dvArADipa	True
269	aDipa	Dharā-	DarADipa	True
269	aDipa	Nagara-	nagarADipa	True
270	aDipati	Gaṇa-	gaRADipati	True
270	aDipati	Tri-	tryaDipati	True
270	aDipati	Daśādhipati	daSADipati	True
270	aDipati	Dhana-	DanADipati	True
270	aDipati	Nagara-	nagarADipati	True
284	aDizWAna	Tri-	tryaDizWAna	True
284	aDizWAna	Dharma-	DarmADizWAna	True
284	aDizWAna	Nis-	nisaDizWAna	False
284	aDizWAna	Sa-	sADizWAna	True
284	aDizWAna	Su-	svaDizWAna	True
289	aDISa	Tri-	tryaDISa	True
289	aDISa	Dina-	dinADISa	True
292	aDyakza	An-	anaDyakza	True
292	aDyakza	Aśva-	aSvADyakza	True
292	aDyakza	Kośa-	koSADyakza	True
292	aDyakza	Gaja-	gajADyakza	True
292	aDyakza	Dvāra-	dvArADyakza	True
292	aDyakza	Sūda-	sUdADyakza	True
294	aDyayana	An-	anaDyayana	True
302	aDyAya	An-	anaDyAya	True
302	aDyAya	Sva-	svADyAya	True
302	aDyAya	Niḥsva-	niHsvADyAya	True
309	aDvan	Gata-	gatADvan	True
322	anantara	Sam-anantara + m	sam-anantara + m	False
336	anala	Kāla-	kAlAnala	True
336	anala	Dāva-	dAvAnala	True
336	anala	Baḍavā-	baqavAnala	True
356	anIka	Agra-	agrAnIka	True
356	anIka	Yathā-anīka + m	yaTA-anIka + m	False
361	anukampA	Sa-anu-kampa	sa-anu-kampa	False
366	anukArin	Hita-	hitAnukArin	True
373	anukrama	Devatā-	devatAnukrama	True
375	anukroSa	Nis-	nisanukroSa	False
375	anukroSa	Sa-	sAnukroSa	True
378	anuga	Pada-	padAnuga	True
378	anuga	Śrotra-pada-	Srotra-padAnuga	False
378	anuga	Vaśa-	vaSAnuga	True
378	anuga	Sa-	sAnuga	True
378	anuga	Sa-bala-	sa-balAnuga	False
388	anucara	Lakṣmaṇa-	lakzmaRAnucara	False
392	anujYA	Prāpta-	prAptAnujYA	False
393	anutApa	Paśca-	paScAnutApa	True
403	anunaya	Sa-	sAnunaya	True
405	anunAda	Sa-veṇu-vīṇā-paṇava-anunāda + m	sa-veRu-vIRA-paRava-anunAda + m	False
412	anupAlana	Dus-	dusanupAlana	False
425	anuBAva	Mahā-	mahAnuBAva	True
437	anuyAtra	Datta-	dattAnuyAtra	False
447	anurAga	Kṛta-	kftAnurAga	False
447	anurAga	Sa-	sAnurAga	True
451	anurUpa	Sva-	svAnurUpa	True
466	anuvartin	Citta-	cittAnuvartin	True
466	anuvartin	Vṛtta-	vfttAnuvartin	True
469	anuvAda	Vāda-	vAdAnuvAda	True
473	anuvftti	Sneha-	snehAnuvftti	True
496	anusArin	Kāla-	kAlAnusArin	True
500	anUcAna	An-	ananUcAna	True
518	anta	An-	ananta	True
518	anta	Apara-	aparAnta	True
518	anta	Udaka-	udakAnta	True
518	anta	Etad-	etadanta	True
518	anta	Kalpa-	kalpAnta	True
518	anta	Kṛta-	kftAnta	True
518	anta	Keśa-	keSAnta	True
518	anta	Gata-	gatAnta	True
518	anta	Gharma-	GarmAnta	True
518	anta	Jana	jana	True
518	anta	Tad-	tadanta	True
518	anta	Diś-	diSanta	False
518	anta	Diṣṭa-	dizwAnta	True
518	anta	Dṛṣṭa-	dfzwAnta	True
518	anta	Yajña-	yajYAnta	True
518	anta	Yuga-	yugAnta	True
518	anta	Svīkāra-	svIkArAnta	True
521	antaka	An-	anantaka	True
521	antaka	Kāla-	kAlAntaka	True
521	antaka	Jagadantaka	jagadantaka	True
521	antaka	Viṣa-	vizAntaka	True
527	antara	Divasa-	divasAntara	True
527	antara	Sa-	sAntara	True
527	antara	Stana-	stanAntara	True
532	antarAla	Sa-	sAntarAla	True
544	antika	Keśa-	keSAntika	True
544	antika	Grahaṇa-	grahaRAntika	True
544	antika	janāntikam	janAntikam	True
551	antra	Kṣudra-	kzudrAntra	True
551	antra	Sthūla-	sTUlAntra	True
556	anDa	divā-	divAnDa	True
563	anna	Kṛta-	kftAnna	True
563	anna	Deva-	devAnna	True
563	anna	Dadhi-	daDyanna	True
563	anna	Paryāya-	paryAyAnna	True
563	anna	Miṣṭa-	mizwAnna	True
563	anna	Rājānna	rAjAnna	True
568	anya	an-	ananya	True
570	anyatA	An-	ananyatA	True
583	anvaya	Dus-	dusanvaya	False
583	anvaya	Nis-	nisanvaya	False
583	anvaya	Sa-	sAnvaya	True
598	anvezin	Hita-	hitAnvezin	True
627	apatya	An-	anapatya	True
627	apatya	Vipanna-	vipannApatya	False
627	apatya	Sa-	sApatya	True
629	apatrapA	Nis-	nisapatrapA	False
630	apadeSa	Sa-apadeśa + m	sa-apadeSa + m	False
650	apara	Pūrva-	pUrvApara	True
657	aparADa	Nis-	nisaparADa	False
657	aparADa	Sa-	sAparADa	True
675	apas	Su-	svapas	True
686	apaha	vīṣa-	vIzApaha	False
694	apANga	Śukla-	SuklApANga	True
698	apAya	Eka-	ekApAya	True
698	apAya	Nis-	nisapAya	False
698	apAya	Sa-	sApAya	True
702	apiDAna	Śilā-	SilApiDAna	False
705	apekzA	An-apekṣa	an-apekza	False
705	apekzA	Nis-	nisapekzA	False
707	apekzin	An-	anapekzin	True
707	apekzin	Dīrgha-	dIrGApekzin	True
707	apekzin	Nis-	nisapekzin	False
713	apyaya	Loka-īśa-prabhava-	loka-ISa-praBavApyaya	False
718	apsaras	Pañcāpsaras	paYcApsaras	True
720	abja	Nila-	nilAbja	False
721	abda	Kṛcchra-	kfcCrAbda	True
721	abda	Tri-	tryabda	True
722	abDi	Kṣīra-	kzIrAbDi	True
727	aBikAma	Sa-	sABikAma	True
730	aBiKyA	Adhika-ud-recita-abhikhya	aDika-ud-recita-aBiKya	False
730	aBiKyA	Haṃsa-	haMsABiKyA	False
730	aBiKyA	Himāṃśu-	himAMSvaBiKyA	False
734	aBiGAta	Vapra-	vaprABiGAta	True
741	aBijYa	An-	anaBijYa	True
750	aBidroha	An-	anaBidroha	True
751	aBiDA	Śūravarmābhidha	SUravarmABiDa	False
752	aBiDAna	Suyyā-	suyyABiDAna	True
767	aBiprAya	Sa-	sABiprAya	True
770	aBiBava	Nis-	nisaBiBava	False
788	aBimAna	Nis-	nisaBimAna	False
788	aBimAna	Sa-	sABimAna	True
792	aBimuKa	Kānana-	kAnanABimuKa	False
792	aBimuKa	Dakṣiṇā-	dakziRABimuKa	True
805	aBirUpa	An-	anaBirUpa	True
808	aBilAza	Nis-	nisaBilAza	False
808	aBilAza	Sa-	sABilAza	True
808	aBilAza	Sābhilāṣa + m	sABilAza + m	False
813	aBivandana	Kṛta-pāda-	kfta-pAdABivandana	False
836	aBizvaNga	An-	anaBizvaNga	True
840	aBisaMDA	Satyābhisaṃdha	satyABisaMDa	True
841	aBisaMDAna	Satya-	satyABisaMDAna	True
849	aBisAra	Loha-	lohABisAra	True
853	aBihAra	Loka-	lokABihAra	False
854	aBIkzRam	An-	anaBIkzRam	True
858	aBImAna	Nis-	nisaBImAna	False
865	aByanujYA	An-	anaByanujYA	True
865	aByanujYA	Kṛta-	kftAByanujYA	False
876	aByasana	An-	anaByasana	True
878	aByasUyA	Sa-	sAByasUyA	False
904	amara	Dharā-	DarAmara	True
904	amara	Sa-	sAmara	True
911	amAtya	Mahā-	mahAmAtya	True
911	amAtya	Sa-	sAmAtya	True
911	amAtya	Sa-janāmātya	sa-janAmAtya	False
921	amfta	Gava-	gavAmfta	True
928	ambara	Nis-	nisambara	False
928	ambara	Mada-	madAmbara	True
932	ambu	Gharma-	GarmAmbu	True
932	ambu	Tila-	tilAmbu	True
932	ambu	Nis-	nisambu	False
937	ambuDi	Kṣāra-	kzArAmbuDi	True
937	ambuDi	Kṣīra-	kzIrAmbuDi	True
939	amburuha	Hema-	hemAmburuha	False
941	amBas	Ud-	udamBas	True
941	amBas	Gharma-	GarmAmBas	True
941	amBas	Lavaṇa-	lavaRAmBas	True
942	amBoja	Hema-	hemAmBoja	True
952	ayana	Uttarā-	uttarAyana	False
952	ayana	Dakṣiṇā-	dakziRAyana	True
952	ayana	Gīta-	gItAyana	True
952	ayana	Guṇa-	guRAyana	True
952	ayana	Vārttā-	vArttAyana	True
954	ayas	Kṛṣṇa-	kfzRAyas	True
970	araRya	Dharma-	DarmAraRya	True
970	araRya	Maha-	mahAraRya	True
980	ari	Dānava-	dAnavAri	True
1000	arka	Jala-	jalArka	True
1000	arka	Bāla-	bAlArka	True
1000	arka	Sa-	sArka	True
1000	arka	Su-	svarka	True
1001	argala	An-	anargala	True
1001	argala	Nis-	nisargala	False
1004	arGa	An-	anarGa	True
1004	arGa	Mahā-	mahArGa	True
1006	arGya	An-	anarGya	True
1011	arci	Sa-	sArci	True
1014	arcis	Aruṇa-	aruRArcis	True
1014	arcis	Ud-	udarcis	True
1014	arcis	Śānta-	SAntArcis	True
1014	arcis	Saptārcis	saptArcis	True
1020	arRava	Mahā-	mahArRava	True
1020	arRava	Lavaṇa-	lavaRArRava	True
1020	arRava	Sa-parvata-vana-	sa-parvata-vanArRava	False
1023	arTa	Iti-artha + m	iti-arTa + m	False
1023	arTa	Indriya-	indriyArTa	True
1023	arTa	Etad-artha + m	etad-arTa + m	False
1023	arTa	Kim-	kimarTa	True
1023	arTa	Kim-artha + m	kim-arTa + m	False
1023	arTa	Kṛta-	kftArTa	True
1023	arTa	Gṛha-	gfhArTa	True
1023	arTa	Tad-artha + m	tad-arTa + m	False
1023	arTa	Nirartha	nirarTa	True
1023	arTa	Niścitārtha	niScitArTa	True
1023	arTa	Para-	parArTa	True
1023	arTa	Parama-	paramArTa	True
1023	arTa	Puruṣa-	puruzArTa	True
1023	arTa	Bhūta-	BUtArTa	True
1023	arTa	Mahā-	mahArTa	True
1023	arTa	Yajña-	yajYArTa	False
1023	arTa	Yathā-	yaTArTa	True
1023	arTa	A-yathā-	a-yaTArTa	False
1023	arTa	Yad-artha + m	yad-arTa + m	False
1023	arTa	Yāvadartha	yAvadarTa	True
1023	arTa	Sva-	svArTa	True
1032	arTavant	Mahā-	mahArTavant	True
1034	arTitva	An-	anarTitva	True
1035	arTin	Chāyā-	CAyArTin	False
1035	arTin	Dhana-	DanArTin	True
1035	arTin	Putra-	putrArTin	True
1035	arTin	Bala-	balArTin	True
1035	arTin	Bhāryā-	BAryArTin	True
1035	arTin	Yuddha-	yudDArTin	True
1035	arTin	Śaraṇa-	SaraRArTin	True
1035	arTin	Hita-	hitArTin	True
1039	arTya	Hema-	hemArTya	False
1042	arDa	Candra-	candrArDa	True
1047	arDika	Tad-	tadarDika	True
1050	arpaRa	Deva-	devArpaRa	True
1064	arha	An-	anarha	True
1064	arha	Pūjā-	pUjArha	True
1064	arha	Priya-	priyArha	True
1064	arha	Māna-	mAnArha	True
1064	arha	Rājārha	rAjArha	True
1064	arha	Satkāra-	satkArArha	True
1064	arha	Sukha-	suKArha	True
1069	alaka	Latā-	latAlaka	True
1081	alasa	Sa-	sAlasa	True
1095	alpa	An-	analpa	True
1095	alpa	Alpa-alpa	alpa-alpa	False
1095	alpa	Su-	svalpa	True
1106	avakASa	Nis-	nisavakASa	False
1106	avakASa	Sulabha-	sulaBAvakASa	True
1112	avagama	Dus-	dusavagama	False
1112	avagama	Svatva-	svatvAvagama	True
1118	avagraha	Dus-	dusavagraha	False
1118	avagraha	Nis-	nisavagraha	False
1127	avajYA	Sa-avajña	sa-avajYa	False
1127	avajYA	sāvajñam	sAvajYam	True
1131	avataMsa	Puṇḍarīka-	puRqarIkAvataMsa	False
1132	avataMsaka	koṣṭha-āgāra-	kozWa-AgArAvataMsaka	False
1140	avadAna	Virya-	viryAvadAna	False
1142	avadya	An-	anavadya	True
1142	avadya	Nis-	nisavadya	False
1143	avaDAna	Sa-	sAvaDAna	True
1145	avaDi	Pratyāgamāvadhi	pratyAgamAvaDi	True
1145	avaDi	Sa-	sAvaDi	True
1161	avaboDa	Dus-	dusavaboDa	False
1163	avaBAsa	An-	anavaBAsa	True
1168	avama	An-	anavama	True
1178	avara	Avara-avara	avara-avara	False
1183	avaroha	Dus-	dusavaroha	False
1186	avalamba	Jāla-	jAlAvalamba	False
1186	avalamba	Nis-	nisavalamba	False
1186	avalamba	Sa-	sAvalamba	True
1186	avalamba	Sevā-	sevAvalamba	True
1186	avalamba	Hasta-	hastAvalamba	True
1187	avalambana	An-	anavalambana	True
1187	avalambana	Kara-	karAvalambana	True
1188	avalambin	Rajju-	rajjvavalambin	True
1193	avalepa	An-	anavalepa	True
1193	avalepa	Sa-	sAvalepa	True
1199	avaSeza	Ardha-	arDAvaSeza	True
1199	avaSeza	Alpa-	alpAvaSeza	True
1199	avaSeza	Nis-	nisavaSeza	False
1199	avaSeza	Sa-	sAvaSeza	True
1202	avazwamBa	Sa-	sAvazwamBa	True
1207	avasara	An-	anavasara	True
1207	avasara	Sarvāvasara + m	sarvAvasara + m	False
1208	avasAda	Nis-	nisavasAda	False
1218	avasTA	Tad-	tadavasTA	False
1218	avasTA	Antya-	antyAvasTA	True
1218	avasTA	Kṛta-	kftAvasTA	False
1219	avasTAna	An-	anavasTAna	True
1221	avasTiti	An-	anavasTiti	True
1224	avahela	Sa-	sAvahela	True
1231	avekzaRa	An-	anavekzaRa	True
1232	avekzA	An-	anavekzA	True
1232	avekzA	Su-	svavekzA	False
1239	aSana	Ati-	atyaSana	True
1239	aSana	Adhi-	aDyaSana	True
1239	aSana	An-	anaSana	True
1239	aSana	Nis-	nisaSana	False
1239	aSana	Mūla-phala-	mUla-PalASana	False
1239	aSana	Piśita-	piSitASana	True
1239	aSana	Sa-	sASana	True
1239	aSana	Havis-	havisaSana	False
1239	aSana	Huta-	hutASana	True
1244	aSIti	Eka-	ekASIti	True
1244	aSIti	Pañcāśiti	paYcASiti	False
1249	aSoka	Nīla-	nIlASoka	True
1250	aSman	A-sita-	a-sitASman	False
1250	aSman	Mahā-	mahASman	True
1250	aSman	Sūrya-	sUryASman	True
1250	aSman	Harita-	haritASman	True
1255	aSra	Sa-	sASra	True
1257	aSru	Ud-	udaSru	True
1260	aSva	An-	anaSva	True
1260	aSva	Indriya-	indriyASva	True
1260	aSva	Gava-	gavASva	True
1260	aSva	Vija-	vijASva	False
1260	aSva	Vṛhadaśva	vfhadaSva	True
1260	aSva	Sa-	sASva	True
1260	aSva	Saptāśva	saptASva	True
1260	aSva	Hata-	hatASva	True
1273	azwaka	Tri-	tryazwaka	True
1273	azwaka	Aṣṭāṣṭaka	azwAzwaka	True
1276	azwan	Tri-	tryazwan	True
1286	as	mahā-satī	mahA-satI	False
1287	as	Citra-nyasta	citra-nyasta	False
1287	as	Su-nyasta	su-nyasta	False
1290	asana	Iṣu-	izvasana	True
1290	asana	Śara-	SarAsana	True
1295	asu	Gata-	gatAsu	True
1295	asu	A-gata-	a-gatAsu	False
1296	asura	Deva-	devAsura	True
1298	asUya	An-asūyant	an-asUyant	False
1299	asUyaka	An-	anasUyaka	True
1300	asUyA	An-asūya	an-asUya	False
1300	asUyA	Sa-	sAsUyA	True
1302	asta	Sūrya-	sUryAsta	True
1306	astra	Iṣu-	izvastra	True
1306	astra	Kusuma-	kusumAstra	True
1306	astra	Kṛta-	kftAstra	True
1306	astra	Daṇḍa-	daRqAstra	True
1306	astra	Mahā-	mahAstra	True
1322	ahaMkAra	Nis-	nisahaMkAra	False
1323	ahaMkfta	An-	anahaMkfta	True
1323	ahaMkfta	Nis-	nisahaMkfta	False
1331	ahi	Andha-	anDAhi	True
1341	Akampa	An-	anAkampa	True
1342	Akara	Kusuma-	kusumAkara	True
1342	Akara	Padma-	padmAkara	True
1342	Akara	Ratna-	ratnAkara	True
1347	AkarzaRa	Khalīna-	KalInAkarzaRa	False
1351	AkANkzin	nirākāṅkṣin	nirAkANkzin	True
1352	AkAra	Guñjā-phala-sama-ākāra	guYjA-Pala-sama-AkAra	False
1352	AkAra	Dvidhā-	dviDAkAra	True
1352	AkAra	Nis-	nisAkAra	False
1352	AkAra	Vṛthā-	vfTAkAra	True
1356	AkASa	Nis-	nisAkASa	False
1360	Akula	An-	anAkula	True
1360	Akula	Pari-	paryAkula	True
1360	Akula	Sam-	samAkula	True
1364	AkUta	Sa-	sAkUta	True
1366	Akfti	Nis-	nisAkfti	False
1366	Akfti	Vāmana-	vAmanAkfti	True
1369	Akranda	An-	anAkranda	True
1369	Akranda	Durākrandam	durAkrandam	True
1372	Akrama	Dus-	dusAkrama	False
1375	AkrIqa	Deva-	devAkrIqa	True
1376	AkroSa	Durākrośam	durAkroSam	True
1378	Akzepa	Śara-	SarAkzepa	True
1378	Akzepa	Sa-ākṣepa + m	sa-Akzepa + m	False
1380	AKu	Vana-	vanAKu	True
1383	AKyA	Udaya-ākhya	udaya-AKya	False
1383	AKyA	Kim-	kimAKyA	False
1383	AKyA	Daśābda-	daSAbdAKyA	False
1390	Agati	Gata-	gatAgati	True
1394	Agama	An-	anAgama	True
1394	Agama	Artha-	arTAgama	True
1394	Agama	Jalada-	jaladAgama	True
1394	Agama	Dina-	dinAgama	True
1394	Agama	Dus-	dusAgama	False
1394	Agama	Dhana-	DanAgama	True
1394	Agama	Dharma-	DarmAgama	True
1394	Agama	Puṣpa-	puzpAgama	True
1394	Agama	Hima-	himAgama	True
1395	Agamana	An-	anAgamana	True
1399	Agas	An-	anAgas	True
1399	Agas	Kṛta-	kftAgas	True
1399	Agas	A-kṛta-	a-kftAgas	False
1399	Agas	Nis-	nisAgas	False
1402	AgAra	Agni-	agnyAgAra	True
1402	AgAra	Antar-	antarAgAra	True
1402	AgAra	Āyudha-	AyuDAgAra	True
1402	AgAra	Kūṭa-	kUwAgAra	True
1402	AgAra	Kośa-	koSAgAra	True
1402	AgAra	Koṣṭha-	kozWAgAra	True
1402	AgAra	Kautuka-	kOtukAgAra	True
1402	AgAra	Garbha-	garBAgAra	True
1402	AgAra	Deva-	devAgAra	True
1402	AgAra	Prekṣā-	prekzAgAra	True
1402	AgAra	Bandhara-	banDarAgAra	False
1402	AgAra	Bhāṇḍa-	BARqAgAra	True
1402	AgAra	Muktā-	muktAgAra	True
1407	Agraha	Dus-	dusAgraha	False
1410	AGAta	Taṭa-	tawAGAta	True
1410	AGAta	Pakṣa-	pakzAGAta	True
1410	AGAta	Śara-	SarAGAta	True
1420	AcAra	Dakṣiṇa-	dakziRAcAra	True
1420	AcAra	Duḥkha-	duHKAcAra	True
1420	AcAra	Dus-	dusAcAra	False
1420	AcAra	Kāma-	kAmAcAra	True
1420	AcAra	Sadācāra	sadAcAra	True
1422	AcAravant	Sadācāra + vant	sadAcAra + vant	False
1423	AcArya	Kula-	kulAcArya	True
1423	AcArya	Nāṭya-	nAwyAcArya	True
1436	AjIva	Raṅga-	raNgAjIva	True
1436	AjIva	Strī-	stryAjIva	True
