OrigL	AssignedL
159.XYZ	159.002
163.XYZ	163.002
163.XYZ	163.004
165.XYZ	165.002
172.XYZ	172.002
176.XYZ	176.002
200.XYZ	200.002
200.XYZ	200.004
214.XYZ	214.002
214.XYZ	214.004
214.XYZ	214.006
214.XYZ	214.008
214.XYZ	214.010
214.XYZ	214.012
214.XYZ	214.014
214.XYZ	214.016
227.XYZ	227.002
234.XYZ	234.002
234.XYZ	234.004
239.XYZ	239.002
239.XYZ	239.004
239.XYZ	239.006
249.XYZ	249.002
250.XYZ	250.002
250.XYZ	250.004
254.XYZ	254.002
254.XYZ	254.004
254.XYZ	254.006
254.XYZ	254.008
254.XYZ	254.010
254.XYZ	254.012
254.XYZ	254.014
255.XYZ	255.002
255.XYZ	255.004
255.XYZ	255.006
256.XYZ	256.002
256.XYZ	256.004
256.XYZ	256.006
256.XYZ	256.008
256.XYZ	256.010
258.XYZ	258.002
260.XYZ	260.002
261.XYZ	261.002
269.XYZ	269.002
269.XYZ	269.004
269.XYZ	269.006
269.XYZ	269.008
269.XYZ	269.010
269.XYZ	269.012
269.XYZ	269.014
269.XYZ	269.016
269.XYZ	269.018
269.XYZ	269.020
269.XYZ	269.022
270.XYZ	270.002
270.XYZ	270.004
270.XYZ	270.006
270.XYZ	270.008
270.XYZ	270.010
284.XYZ	284.002
284.XYZ	284.004
284.XYZ	284.006
284.XYZ	284.008
284.XYZ	284.010
289.XYZ	289.002
289.XYZ	289.004
292.XYZ	292.002
292.XYZ	292.004
292.XYZ	292.006
292.XYZ	292.008
292.XYZ	292.010
292.XYZ	292.012
294.XYZ	294.002
302.XYZ	302.002
302.XYZ	302.004
302.XYZ	302.006
309.XYZ	309.002
322.XYZ	322.002
336.XYZ	336.002
336.XYZ	336.004
336.XYZ	336.006
356.XYZ	356.002
356.XYZ	356.004
361.XYZ	361.002
366.XYZ	366.002
373.XYZ	373.002
375.XYZ	375.002
375.XYZ	375.004
378.XYZ	378.002
378.XYZ	378.004
378.XYZ	378.006
378.XYZ	378.008
378.XYZ	378.010
388.XYZ	388.002
392.XYZ	392.002
393.XYZ	393.002
403.XYZ	403.002
405.XYZ	405.002
412.XYZ	412.002
425.XYZ	425.002
437.XYZ	437.002
447.XYZ	447.002
447.XYZ	447.004
451.XYZ	451.002
466.XYZ	466.002
466.XYZ	466.004
469.XYZ	469.002
473.XYZ	473.002
496.XYZ	496.002
500.XYZ	500.002
518.XYZ	518.002
518.XYZ	518.004
518.XYZ	518.006
518.XYZ	518.008
518.XYZ	518.010
518.XYZ	518.012
518.XYZ	518.014
518.XYZ	518.016
518.XYZ	518.018
518.XYZ	518.020
518.XYZ	518.022
518.XYZ	518.024
518.XYZ	518.026
518.XYZ	518.028
518.XYZ	518.030
518.XYZ	518.032
518.XYZ	518.034
521.XYZ	521.002
521.XYZ	521.004
521.XYZ	521.006
521.XYZ	521.008
527.XYZ	527.002
527.XYZ	527.004
527.XYZ	527.006
532.XYZ	532.002
544.XYZ	544.002
544.XYZ	544.004
544.XYZ	544.006
551.XYZ	551.002
551.XYZ	551.004
556.XYZ	556.002
563.XYZ	563.002
563.XYZ	563.004
563.XYZ	563.006
563.XYZ	563.008
563.XYZ	563.010
563.XYZ	563.012
568.XYZ	568.002
570.XYZ	570.002
583.XYZ	583.002
583.XYZ	583.004
583.XYZ	583.006
598.XYZ	598.002
627.XYZ	627.002
627.XYZ	627.004
627.XYZ	627.006
629.XYZ	629.002
630.XYZ	630.002
650.XYZ	650.002
657.XYZ	657.002
657.XYZ	657.004
675.XYZ	675.002
686.XYZ	686.002
694.XYZ	694.002
698.XYZ	698.002
698.XYZ	698.004
698.XYZ	698.006
702.XYZ	702.002
705.XYZ	705.002
705.XYZ	705.004
707.XYZ	707.002
707.XYZ	707.004
707.XYZ	707.006
713.XYZ	713.002
718.XYZ	718.002
720.XYZ	720.002
721.XYZ	721.002
721.XYZ	721.004
722.XYZ	722.002
727.XYZ	727.002
730.XYZ	730.002
730.XYZ	730.004
730.XYZ	730.006
734.XYZ	734.002
741.XYZ	741.002
750.XYZ	750.002
751.XYZ	751.002
752.XYZ	752.002
767.XYZ	767.002
770.XYZ	770.002
788.XYZ	788.002
788.XYZ	788.004
792.XYZ	792.002
792.XYZ	792.004
805.XYZ	805.002
808.XYZ	808.002
808.XYZ	808.004
808.XYZ	808.006
813.XYZ	813.002
