OrigL	AssignedL
2298.XYZ	2298.004
2298.XYZ	2298.006
2306.XYZ	2306.002
2306.XYZ	2306.004
2306.XYZ	2306.006
2306.XYZ	2306.008
2311.XYZ	2311.002
2319.XYZ	2319.002
2325.XYZ	2325.002
2325.XYZ	2325.004
2327.XYZ	2327.002
2334.XYZ	2334.002
2336.XYZ	2336.002
2339.XYZ	2339.002
2361.XYZ	2361.002
2364.XYZ	2364.002
2369.XYZ	2369.002
2369.XYZ	2369.004
2372.XYZ	2372.002
2373.XYZ	2373.002
2380.XYZ	2380.002
2390.XYZ	2390.002
2392.XYZ	2392.002
2392.XYZ	2392.004
2392.XYZ	2392.006
2400.XYZ	2400.002
2425.XYZ	2425.002
2425.XYZ	2425.004
2425.XYZ	2425.006
2428.XYZ	2428.002
2441.XYZ	2441.002
2445.XYZ	2445.002
2445.XYZ	2445.004
2451.XYZ	2451.002
2457.XYZ	2457.002
2465.XYZ	2465.002
2467.XYZ	2467.002
2467.XYZ	2467.004
2473.XYZ	2473.002
2474.XYZ	2474.002
2474.XYZ	2474.004
2474.XYZ	2474.006
2490.XYZ	2490.002
2498.XYZ	2498.002
2498.XYZ	2498.004
2505.XYZ	2505.002
2506.XYZ	2506.002
2517.XYZ	2517.002
2517.XYZ	2517.004
2518.XYZ	2518.002
2524.XYZ	2524.002
2524.XYZ	2524.004
2531.XYZ	2531.002
2535.XYZ	2535.002
2540.XYZ	2540.002
2540.XYZ	2540.004
2540.XYZ	2540.006
2546.XYZ	2546.002
2558.XYZ	2558.002
2558.XYZ	2558.004
2558.XYZ	2558.006
2558.XYZ	2558.008
2598.XYZ	2598.002
2634.XYZ	2634.002
2644.XYZ	2644.002
2644.XYZ	2644.004
2654.XYZ	2654.002
2680.XYZ	2680.002
2687.XYZ	2687.002
2687.XYZ	2687.004
2687.XYZ	2687.006
2687.XYZ	2687.008
2687.XYZ	2687.010
2687.XYZ	2687.012
2687.XYZ	2687.014
2687.XYZ	2687.016
2687.XYZ	2687.018
2687.XYZ	2687.020
2687.XYZ	2687.022
2689.XYZ	2689.002
2689.XYZ	2689.004
2693.XYZ	2693.002
2693.XYZ	2693.004
2698.XYZ	2698.002
2698.XYZ	2698.004
2698.XYZ	2698.006
2698.XYZ	2698.008
2698.XYZ	2698.010
2698.XYZ	2698.012
2702.XYZ	2702.002
2714.XYZ	2714.002
2714.XYZ	2714.004
2749.XYZ	2749.002
2760.XYZ	2760.002
2761.XYZ	2761.002
2772.XYZ	2772.002
2772.XYZ	2772.004
2775.XYZ	2775.002
2775.XYZ	2775.004
2786.XYZ	2786.002
2789.XYZ	2789.002
2795.XYZ	2795.002
2795.XYZ	2795.004
2795.XYZ	2795.006
2802.XYZ	2802.002
2802.XYZ	2802.004
2802.XYZ	2802.006
2802.XYZ	2802.008
2802.XYZ	2802.010
2813.XYZ	2813.002
2824.XYZ	2824.002
2832.XYZ	2832.002
2832.XYZ	2832.004
2832.XYZ	2832.006
2832.XYZ	2832.008
2832.XYZ	2832.010
2860.XYZ	2860.002
2861.XYZ	2861.002
2861.XYZ	2861.004
2861.XYZ	2861.006
2889.XYZ	2889.002
2889.XYZ	2889.004
2895.XYZ	2895.002
2900.XYZ	2900.002
2900.XYZ	2900.004
2904.XYZ	2904.002
2904.XYZ	2904.004
2904.XYZ	2904.006
2929.XYZ	2929.002
2936.XYZ	2936.002
2936.XYZ	2936.004
2936.XYZ	2936.006
2936.XYZ	2936.008
2936.XYZ	2936.010
2936.XYZ	2936.012
2940.XYZ	2940.002
2940.XYZ	2940.004
2940.XYZ	2940.006
2940.XYZ	2940.008
2944.XYZ	2944.002
2944.XYZ	2944.004
2945.XYZ	2945.002
2945.XYZ	2945.004
2945.XYZ	2945.006
2947.XYZ	2947.002
2950.XYZ	2950.002
2950.XYZ	2950.004
2950.XYZ	2950.006
2950.XYZ	2950.008
2950.XYZ	2950.010
2950.XYZ	2950.012
2950.XYZ	2950.014
2950.XYZ	2950.016
2950.XYZ	2950.018
2950.XYZ	2950.020
2950.XYZ	2950.022
2950.XYZ	2950.024
2957.XYZ	2957.002
2959.XYZ	2959.002
2959.XYZ	2959.004
2959.XYZ	2959.006
2959.XYZ	2959.008
2959.XYZ	2959.010
2959.XYZ	2959.012
2959.XYZ	2959.014
2959.XYZ	2959.016
2961.XYZ	2961.002
2961.XYZ	2961.004
2961.XYZ	2961.006
2980.XYZ	2980.002
2980.XYZ	2980.004
2980.XYZ	2980.006
2982.XYZ	2982.002
2982.XYZ	2982.004
2982.XYZ	2982.006
2985.XYZ	2985.002
2985.XYZ	2985.004
2985.XYZ	2985.006
2989.XYZ	2989.002
3005.XYZ	3005.002
3005.XYZ	3005.004
3005.XYZ	3005.006
3005.XYZ	3005.008
3005.XYZ	3005.010
3005.XYZ	3005.012
3005.XYZ	3005.014
3005.XYZ	3005.016
3005.XYZ	3005.018
3005.XYZ	3005.020
3005.XYZ	3005.022
3005.XYZ	3005.024
3005.XYZ	3005.026
3008.XYZ	3008.002
3014.XYZ	3014.002
3025.XYZ	3025.002
3025.XYZ	3025.004
3025.XYZ	3025.006
3025.XYZ	3025.008
3025.XYZ	3025.010
3025.XYZ	3025.012
3025.XYZ	3025.014
3032.XYZ	3032.002
3032.XYZ	3032.004
3035.XYZ	3035.002
3043.XYZ	3043.002
3045.XYZ	3045.002
3045.XYZ	3045.004
3049.XYZ	3049.002
3049.XYZ	3049.004
3049.XYZ	3049.006
3049.XYZ	3049.008
3049.XYZ	3049.010
3049.XYZ	3049.012
3049.XYZ	3049.014
3049.XYZ	3049.016
3049.XYZ	3049.018
3049.XYZ	3049.020
3049.XYZ	3049.022
3049.XYZ	3049.024
3049.XYZ	3049.026
3049.XYZ	3049.028
3049.XYZ	3049.030
3049.XYZ	3049.032
3049.XYZ	3049.034
3049.XYZ	3049.036
3049.XYZ	3049.038
3049.XYZ	3049.040
3049.XYZ	3049.042
3049.XYZ	3049.044
3049.XYZ	3049.046
3049.XYZ	3049.048
3049.XYZ	3049.050
3049.XYZ	3049.052
3049.XYZ	3049.054
3049.XYZ	3049.056
3049.XYZ	3049.058
3049.XYZ	3049.060
3049.XYZ	3049.062
3049.XYZ	3049.064
3069.XYZ	3069.002
3069.XYZ	3069.004
3070.XYZ	3070.002
3072.XYZ	3072.002
3074.XYZ	3074.002
3083.XYZ	3083.002
3083.XYZ	3083.004
3083.XYZ	3083.006
3086.XYZ	3086.002
3086.XYZ	3086.004
3102.XYZ	3102.002
3103.XYZ	3103.002
3109.XYZ	3109.002
3111.XYZ	3111.002
3111.XYZ	3111.004
3111.XYZ	3111.006
3111.XYZ	3111.008
3111.XYZ	3111.010
3114.XYZ	3114.002
3127.XYZ	3127.002
3127.XYZ	3127.004
3127.XYZ	3127.006
3135.XYZ	3135.002
3136.XYZ	3136.002
3142.XYZ	3142.002
3148.XYZ	3148.002
3153.XYZ	3153.002
3155.XYZ	3155.002
3159.XYZ	3159.002
3164.XYZ	3164.002
3188.XYZ	3188.002
3193.XYZ	3193.002
3193.XYZ	3193.004
3193.XYZ	3193.006
3194.XYZ	3194.002
3194.XYZ	3194.004
3202.XYZ	3202.002
3202.XYZ	3202.004
3209.XYZ	3209.002
3225.XYZ	3225.002
3225.XYZ	3225.004
3225.XYZ	3225.006
3225.XYZ	3225.008
3225.XYZ	3225.010
3225.XYZ	3225.012
3225.XYZ	3225.014
3225.XYZ	3225.016
3225.XYZ	3225.018
3225.XYZ	3225.020
3225.XYZ	3225.022
3229.XYZ	3229.002
3236.XYZ	3236.002
3255.XYZ	3255.002
3255.XYZ	3255.004
3255.XYZ	3255.006
3256.XYZ	3256.002
3260.XYZ	3260.002
3260.XYZ	3260.004
3260.XYZ	3260.006
3260.XYZ	3260.008
3260.XYZ	3260.010
3263.XYZ	3263.002
3263.XYZ	3263.004
3263.XYZ	3263.006
3263.XYZ	3263.008
3269.XYZ	3269.002
3269.XYZ	3269.004
3269.XYZ	3269.006
3269.XYZ	3269.008
3269.XYZ	3269.010
3269.XYZ	3269.012
3303.XYZ	3303.002
3306.XYZ	3306.002
3306.XYZ	3306.004
3306.XYZ	3306.006
3306.XYZ	3306.008
3306.XYZ	3306.010
3306.XYZ	3306.012
3306.XYZ	3306.014
3306.XYZ	3306.016
3306.XYZ	3306.018
3306.XYZ	3306.020
3306.XYZ	3306.022
3306.XYZ	3306.024
3306.XYZ	3306.026
3323.XYZ	3323.002
3323.XYZ	3323.004
3323.XYZ	3323.006
3323.XYZ	3323.008
3323.XYZ	3323.010
3323.XYZ	3323.012
3323.XYZ	3323.014
3323.XYZ	3323.016
3323.XYZ	3323.018
3323.XYZ	3323.020
3323.XYZ	3323.022
3323.XYZ	3323.024
3323.XYZ	3323.026
3323.XYZ	3323.028
3323.XYZ	3323.030
3323.XYZ	3323.032
3323.XYZ	3323.034
3323.XYZ	3323.036
3324.XYZ	3324.002
3324.XYZ	3324.004
3325.XYZ	3325.002
3342.XYZ	3342.002
3342.XYZ	3342.004
3342.XYZ	3342.006
3342.XYZ	3342.008
3342.XYZ	3342.010
3342.XYZ	3342.012
3348.XYZ	3348.002
3359.XYZ	3359.002
3376.XYZ	3376.002
3376.XYZ	3376.004
3408.XYZ	3408.002
3409.XYZ	3409.002
3415.XYZ	3415.002
3416.XYZ	3416.002
3425.XYZ	3425.002
3425.XYZ	3425.004
3433.XYZ	3433.002
3439.XYZ	3439.002
3439.XYZ	3439.004
3439.XYZ	3439.006
3439.XYZ	3439.008
3444.XYZ	3444.002
3447.XYZ	3447.002
3447.XYZ	3447.004
3451.XYZ	3451.002
3451.XYZ	3451.004
3451.XYZ	3451.006
3465.XYZ	3465.002
3465.XYZ	3465.004
3465.XYZ	3465.006
3476.XYZ	3476.002
3489.XYZ	3489.002
3489.XYZ	3489.004
3489.XYZ	3489.006
3492.XYZ	3492.002
3494.XYZ	3494.002
3497.XYZ	3497.002
3499.XYZ	3499.002
3499.XYZ	3499.004
3502.XYZ	3502.002
3515.XYZ	3515.002
3516.XYZ	3516.002
3519.XYZ	3519.002
3519.XYZ	3519.004
3527.XYZ	3527.002
3556.XYZ	3556.002
3556.XYZ	3556.004
3556.XYZ	3556.006
3568.XYZ	3568.002
3568.XYZ	3568.004
3568.XYZ	3568.006
3568.XYZ	3568.008
3568.XYZ	3568.010
3568.XYZ	3568.012
3568.XYZ	3568.014
3568.XYZ	3568.016
3588.XYZ	3588.002
3588.XYZ	3588.004
3588.XYZ	3588.006
3588.XYZ	3588.008
3588.XYZ	3588.010
3588.XYZ	3588.012
3588.XYZ	3588.014
3588.XYZ	3588.016
3588.XYZ	3588.018
3588.XYZ	3588.020
3588.XYZ	3588.022
3588.XYZ	3588.024
3590.XYZ	3590.002
3604.XYZ	3604.002
3611.XYZ	3611.002
3612.XYZ	3612.002
3612.XYZ	3612.004
3623.XYZ	3623.002
3623.XYZ	3623.004
3623.XYZ	3623.006
3623.XYZ	3623.008
3623.XYZ	3623.010
3623.XYZ	3623.012
3639.XYZ	3639.002
3647.XYZ	3647.002
3654.XYZ	3654.002
3654.XYZ	3654.004
3658.XYZ	3658.002
3658.XYZ	3658.004
3658.XYZ	3658.006
3658.XYZ	3658.008
3658.XYZ	3658.010
3658.XYZ	3658.012
3658.XYZ	3658.014
3658.XYZ	3658.016
3658.XYZ	3658.018
3658.XYZ	3658.020
3658.XYZ	3658.022
3664.XYZ	3664.002
3668.XYZ	3668.002
3668.XYZ	3668.004
3679.XYZ	3679.002
3679.XYZ	3679.004
3685.XYZ	3685.002
3685.XYZ	3685.004
3685.XYZ	3685.006
3685.XYZ	3685.008
3685.XYZ	3685.010
3685.XYZ	3685.012
3685.XYZ	3685.014
3685.XYZ	3685.016
3693.XYZ	3693.002
3693.XYZ	3693.004
3693.XYZ	3693.006
3693.XYZ	3693.008
3693.XYZ	3693.010
3693.XYZ	3693.012
3693.XYZ	3693.014
3693.XYZ	3693.016
3693.XYZ	3693.018
3700.XYZ	3700.002
3700.XYZ	3700.004
3709.XYZ	3709.002
3709.XYZ	3709.004
3709.XYZ	3709.006
3710.XYZ	3710.002
3710.XYZ	3710.004
3716.XYZ	3716.002
3716.XYZ	3716.004
3716.XYZ	3716.006
3716.XYZ	3716.008
3716.XYZ	3716.010
3716.XYZ	3716.012
3716.XYZ	3716.014
3716.XYZ	3716.016
3719.XYZ	3719.002
3726.XYZ	3726.002
3728.XYZ	3728.002
3738.XYZ	3738.002
3738.XYZ	3738.004
3742.XYZ	3742.002
3742.XYZ	3742.004
3747.XYZ	3747.002
3759.XYZ	3759.002
3760.XYZ	3760.002
3767.XYZ	3767.002
3767.XYZ	3767.004
3768.XYZ	3768.002
3768.XYZ	3768.004
3768.XYZ	3768.006
3768.XYZ	3768.008
3768.XYZ	3768.010
3770.XYZ	3770.002
3776.XYZ	3776.002
3776.XYZ	3776.004
3780.XYZ	3780.002
3780.XYZ	3780.004
3780.XYZ	3780.006
3780.XYZ	3780.008
3780.XYZ	3780.010
3780.XYZ	3780.012
3780.XYZ	3780.014
3780.XYZ	3780.016
3780.XYZ	3780.018
3781.XYZ	3781.002
3781.XYZ	3781.004
3783.XYZ	3783.002
3784.XYZ	3784.002
3789.XYZ	3789.002
3789.XYZ	3789.004
3811.XYZ	3811.002
3827.XYZ	3827.002
3831.XYZ	3831.002
3831.XYZ	3831.004
3831.XYZ	3831.006
3831.XYZ	3831.008
3831.XYZ	3831.010
3831.XYZ	3831.012
3832.XYZ	3832.002
3845.XYZ	3845.002
3845.XYZ	3845.004
3845.XYZ	3845.006
3845.XYZ	3845.008
3845.XYZ	3845.010
3845.XYZ	3845.012
3845.XYZ	3845.014
3866.XYZ	3866.002
3866.XYZ	3866.004
3902.XYZ	3902.002
3911.XYZ	3911.002
3911.XYZ	3911.004
3920.XYZ	3920.002
3920.XYZ	3920.004
3920.XYZ	3920.006
3920.XYZ	3920.008
3920.XYZ	3920.010
3921.XYZ	3921.002
3921.XYZ	3921.004
3921.XYZ	3921.006
3921.XYZ	3921.008
3921.XYZ	3921.010
3921.XYZ	3921.012
3933.XYZ	3933.002
3934.XYZ	3934.002
3937.XYZ	3937.002
3937.XYZ	3937.004
3937.XYZ	3937.006
3937.XYZ	3937.008
3937.XYZ	3937.010
3937.XYZ	3937.012
3937.XYZ	3937.014
3937.XYZ	3937.016
3937.XYZ	3937.018
3937.XYZ	3937.020
3937.XYZ	3937.022
3937.XYZ	3937.024
3937.XYZ	3937.026
3937.XYZ	3937.028
3937.XYZ	3937.030
3937.XYZ	3937.032
3938.XYZ	3938.002
3941.XYZ	3941.002
3945.XYZ	3945.002
3945.XYZ	3945.004
3945.XYZ	3945.006
3956.XYZ	3956.002
3956.XYZ	3956.004
3961.XYZ	3961.002
3961.XYZ	3961.004
3962.XYZ	3962.002
3962.XYZ	3962.004
3974.XYZ	3974.002
3979.XYZ	3979.002
3981.XYZ	3981.002
3982.XYZ	3982.002
3987.XYZ	3987.002
3987.XYZ	3987.004
3999.XYZ	3999.002
3999.XYZ	3999.004
3999.XYZ	3999.006
4000.XYZ	4000.002
4000.XYZ	4000.004
4000.XYZ	4000.006
4000.XYZ	4000.008
4000.XYZ	4000.010
4000.XYZ	4000.012
4010.XYZ	4010.002
4012.XYZ	4012.002
4025.XYZ	4025.002
4025.XYZ	4025.004
4025.XYZ	4025.006
4025.XYZ	4025.008
4025.XYZ	4025.010
4025.XYZ	4025.012
4031.XYZ	4031.002
4031.XYZ	4031.004
4031.XYZ	4031.006
4031.XYZ	4031.008
4037.XYZ	4037.002
4048.XYZ	4048.002
4053.XYZ	4053.002
4083.XYZ	4083.002
4084.XYZ	4084.002
4101.XYZ	4101.002
4101.XYZ	4101.004
4101.XYZ	4101.006
4101.XYZ	4101.008
4101.XYZ	4101.010
4101.XYZ	4101.012
4107.XYZ	4107.002
4108.XYZ	4108.002
4108.XYZ	4108.004
4108.XYZ	4108.006
4108.XYZ	4108.008
4108.XYZ	4108.010
4108.XYZ	4108.012
4112.XYZ	4112.002
4144.XYZ	4144.002
4168.XYZ	4168.002
4168.XYZ	4168.004
4173.XYZ	4173.002
4173.XYZ	4173.004
4173.XYZ	4173.006
4173.XYZ	4173.008
4173.XYZ	4173.010
4181.XYZ	4181.002
4190.XYZ	4190.002
4193.XYZ	4193.002
4224.XYZ	4224.002
4233.XYZ	4233.002
4233.XYZ	4233.004
4240.XYZ	4240.002
4251.XYZ	4251.002
4261.XYZ	4261.002
4272.XYZ	4272.002
4272.XYZ	4272.004
4274.XYZ	4274.002
4274.XYZ	4274.004
4274.XYZ	4274.006
4274.XYZ	4274.008
4274.XYZ	4274.010
4274.XYZ	4274.012
4286.XYZ	4286.002
4286.XYZ	4286.004
4286.XYZ	4286.006
4286.XYZ	4286.008
4294.XYZ	4294.002
4298.XYZ	4298.002
4299.XYZ	4299.002
4303.XYZ	4303.002
4303.XYZ	4303.004
4303.XYZ	4303.006
4303.XYZ	4303.008
4303.XYZ	4303.010
4303.XYZ	4303.012
4303.XYZ	4303.014
4303.XYZ	4303.016
4303.XYZ	4303.018
4303.XYZ	4303.020
4303.XYZ	4303.022
4303.XYZ	4303.024
4305.XYZ	4305.002
4307.XYZ	4307.002
4309.XYZ	4309.002
4309.XYZ	4309.004
4312.XYZ	4312.002
4312.XYZ	4312.004
4312.XYZ	4312.006
4312.XYZ	4312.008
4312.XYZ	4312.010
4312.XYZ	4312.012
4312.XYZ	4312.014
4316.XYZ	4316.002
4316.XYZ	4316.004
4321.XYZ	4321.002
4322.XYZ	4322.002
4326.XYZ	4326.002
4326.XYZ	4326.004
4326.XYZ	4326.006
4326.XYZ	4326.008
4326.XYZ	4326.010
4326.XYZ	4326.012
4326.XYZ	4326.014
4326.XYZ	4326.016
4326.XYZ	4326.018
4326.XYZ	4326.020
4327.XYZ	4327.002
4327.XYZ	4327.004
4327.XYZ	4327.006
4327.XYZ	4327.008
4328.XYZ	4328.002
4328.XYZ	4328.004
4328.XYZ	4328.006
4328.XYZ	4328.008
4328.XYZ	4328.010
4333.XYZ	4333.002
4340.XYZ	4340.002
4352.XYZ	4352.002
4352.XYZ	4352.004
4352.XYZ	4352.006
4352.XYZ	4352.008
4352.XYZ	4352.010
4352.XYZ	4352.012
4352.XYZ	4352.014
4352.XYZ	4352.016
4352.XYZ	4352.018
4352.XYZ	4352.020
4352.XYZ	4352.022
4352.XYZ	4352.024
4352.XYZ	4352.026
4359.XYZ	4359.002
4359.XYZ	4359.004
4361.XYZ	4361.002
4362.XYZ	4362.002
4383.XYZ	4383.002
4403.XYZ	4403.002
4403.XYZ	4403.004
4410.XYZ	4410.002
4410.XYZ	4410.004
4416.XYZ	4416.002
4421.XYZ	4421.002
4421.XYZ	4421.004
4421.XYZ	4421.006
4421.XYZ	4421.008
4447.XYZ	4447.002
4452.XYZ	4452.002
4452.XYZ	4452.004
4452.XYZ	4452.006
4452.XYZ	4452.008
4452.XYZ	4452.010
4452.XYZ	4452.012
4452.XYZ	4452.014
4452.XYZ	4452.016
4468.XYZ	4468.002
4475.XYZ	4475.002
4478.XYZ	4478.002
4479.XYZ	4479.002
4479.XYZ	4479.004
4479.XYZ	4479.006
4479.XYZ	4479.008
4479.XYZ	4479.010
4479.XYZ	4479.012
4479.XYZ	4479.014
4479.XYZ	4479.016
4479.XYZ	4479.018
4479.XYZ	4479.020
4479.XYZ	4479.022
4487.XYZ	4487.002
4489.XYZ	4489.002
4498.XYZ	4498.002
4498.XYZ	4498.004
4498.XYZ	4498.006
4498.XYZ	4498.008
4501.XYZ	4501.002
4501.XYZ	4501.004
4504.XYZ	4504.002
4504.XYZ	4504.004
4504.XYZ	4504.006
4504.XYZ	4504.008
4504.XYZ	4504.010
4517.XYZ	4517.002
4518.XYZ	4518.002
4518.XYZ	4518.004
4518.XYZ	4518.006
4519.XYZ	4519.002
4519.XYZ	4519.004
4537.XYZ	4537.002
4546.XYZ	4546.002
4546.XYZ	4546.004
4546.XYZ	4546.006
4546.XYZ	4546.008
4546.XYZ	4546.010
4546.XYZ	4546.012
4546.XYZ	4546.014
4546.XYZ	4546.016
4546.XYZ	4546.018
4546.XYZ	4546.020
4546.XYZ	4546.022
4546.XYZ	4546.024
4546.XYZ	4546.026
4546.XYZ	4546.028
4546.XYZ	4546.030
4546.XYZ	4546.032
4546.XYZ	4546.034
4546.XYZ	4546.036
4546.XYZ	4546.038
4546.XYZ	4546.040
4546.XYZ	4546.042
4546.XYZ	4546.044
4567.XYZ	4567.002
4569.XYZ	4569.002
4569.XYZ	4569.004
4570.XYZ	4570.002
4570.XYZ	4570.004
4575.XYZ	4575.002
4575.XYZ	4575.004
4579.XYZ	4579.002
4586.XYZ	4586.002
4594.XYZ	4594.002
4602.XYZ	4602.002
4605.XYZ	4605.002
4609.XYZ	4609.002
4613.XYZ	4613.002
4620.XYZ	4620.002
4625.XYZ	4625.002
4625.XYZ	4625.004
4626.XYZ	4626.002
4626.XYZ	4626.004
4636.XYZ	4636.002
4636.XYZ	4636.004
4636.XYZ	4636.006
4636.XYZ	4636.008
4636.XYZ	4636.010
4636.XYZ	4636.012
4636.XYZ	4636.014
4636.XYZ	4636.016
4636.XYZ	4636.018
4636.XYZ	4636.020
4636.XYZ	4636.022
4636.XYZ	4636.024
4636.XYZ	4636.026
4636.XYZ	4636.028
4637.XYZ	4637.002
4637.XYZ	4637.004
4637.XYZ	4637.006
4637.XYZ	4637.008
4637.XYZ	4637.010
4642.XYZ	4642.002
4644.XYZ	4644.002
4644.XYZ	4644.004
4644.XYZ	4644.006
4644.XYZ	4644.008
4644.XYZ	4644.010
4653.XYZ	4653.002
4656.XYZ	4656.002
4657.XYZ	4657.002
4659.XYZ	4659.002
4659.XYZ	4659.004
4659.XYZ	4659.006
4659.XYZ	4659.008
4659.XYZ	4659.010
4659.XYZ	4659.012
4661.XYZ	4661.002
4661.XYZ	4661.004
4662.XYZ	4662.002
4662.XYZ	4662.004
4662.XYZ	4662.006
4662.XYZ	4662.008
4663.XYZ	4663.002
4663.XYZ	4663.004
4663.XYZ	4663.006
4663.XYZ	4663.008
4663.XYZ	4663.010
4663.XYZ	4663.012
4663.XYZ	4663.014
4663.XYZ	4663.016
4663.XYZ	4663.018
4663.XYZ	4663.020
4663.XYZ	4663.022
4684.XYZ	4684.002
4685.XYZ	4685.002
4697.XYZ	4697.002
4697.XYZ	4697.004
4712.XYZ	4712.002
4712.XYZ	4712.004
4712.XYZ	4712.006
4713.XYZ	4713.002
4715.XYZ	4715.002
4715.XYZ	4715.004
4715.XYZ	4715.006
4715.XYZ	4715.008
4715.XYZ	4715.010
4717.XYZ	4717.002
4732.XYZ	4732.002
4732.XYZ	4732.004
4738.XYZ	4738.002
4738.XYZ	4738.004
4742.XYZ	4742.002
4754.XYZ	4754.002
4756.XYZ	4756.002
4756.XYZ	4756.004
4756.XYZ	4756.006
4756.XYZ	4756.008
4756.XYZ	4756.010
4756.XYZ	4756.012
4762.XYZ	4762.002
4774.XYZ	4774.002
4774.XYZ	4774.004
4774.XYZ	4774.006
4774.XYZ	4774.008
4774.XYZ	4774.010
4774.XYZ	4774.012
4774.XYZ	4774.014
4774.XYZ	4774.016
4777.XYZ	4777.002
4777.XYZ	4777.004
4777.XYZ	4777.006
4787.XYZ	4787.002
4792.XYZ	4792.002
4792.XYZ	4792.004
4792.XYZ	4792.006
4792.XYZ	4792.008
4792.XYZ	4792.010
4792.XYZ	4792.012
4792.XYZ	4792.014
4792.XYZ	4792.016
4792.XYZ	4792.018
4792.XYZ	4792.020
4792.XYZ	4792.022
4798.XYZ	4798.002
4802.XYZ	4802.002
4809.XYZ	4809.002
4849.XYZ	4849.002
4854.XYZ	4854.002
4854.XYZ	4854.004
4856.XYZ	4856.002
4856.XYZ	4856.004
4856.XYZ	4856.006
4856.XYZ	4856.008
4872.XYZ	4872.002
4877.XYZ	4877.002
4879.XYZ	4879.002
4879.XYZ	4879.004
4880.XYZ	4880.002
4880.XYZ	4880.004
4880.XYZ	4880.006
4880.XYZ	4880.008
4880.XYZ	4880.010
4880.XYZ	4880.012
4880.XYZ	4880.014
4880.XYZ	4880.016
4880.XYZ	4880.018
4880.XYZ	4880.020
4880.XYZ	4880.022
4880.XYZ	4880.024
4880.XYZ	4880.026
4880.XYZ	4880.028
4880.XYZ	4880.030
4881.XYZ	4881.002
4889.XYZ	4889.002
4896.XYZ	4896.002
4899.XYZ	4899.002
4899.XYZ	4899.004
4899.XYZ	4899.006
4900.XYZ	4900.002
4905.XYZ	4905.002
4905.XYZ	4905.004
4905.XYZ	4905.006
4905.XYZ	4905.008
4905.XYZ	4905.010
4905.XYZ	4905.012
4905.XYZ	4905.014
4905.XYZ	4905.016
4905.XYZ	4905.018
4907.XYZ	4907.002
4908.XYZ	4908.002
4909.XYZ	4909.002
4912.XYZ	4912.002
4912.XYZ	4912.004
4912.XYZ	4912.006
4912.XYZ	4912.008
4915.XYZ	4915.002
4928.XYZ	4928.002
4941.XYZ	4941.002
4941.XYZ	4941.004
4942.XYZ	4942.002
4942.XYZ	4942.004
4942.XYZ	4942.006
4942.XYZ	4942.008
4942.XYZ	4942.010
4944.XYZ	4944.002
4944.XYZ	4944.004
4950.XYZ	4950.002
4950.XYZ	4950.004
4955.XYZ	4955.002
4955.XYZ	4955.004
4957.XYZ	4957.002
4957.XYZ	4957.004
4957.XYZ	4957.006
4957.XYZ	4957.008
4957.XYZ	4957.010
4957.XYZ	4957.012
4957.XYZ	4957.014
4957.XYZ	4957.016
4957.XYZ	4957.018
4957.XYZ	4957.020
4957.XYZ	4957.022
4957.XYZ	4957.024
4957.XYZ	4957.026
4957.XYZ	4957.028
4958.XYZ	4958.002
4966.XYZ	4966.002
4966.XYZ	4966.004
4969.XYZ	4969.002
4987.XYZ	4987.002
4987.XYZ	4987.004
4987.XYZ	4987.006
4987.XYZ	4987.008
4988.XYZ	4988.002
4989.XYZ	4989.002
4991.XYZ	4991.002
4991.XYZ	4991.004
5004.XYZ	5004.002
5004.XYZ	5004.004
5004.XYZ	5004.006
5005.XYZ	5005.002
5005.XYZ	5005.004
5005.XYZ	5005.006
5005.XYZ	5005.008
5007.XYZ	5007.002
5007.XYZ	5007.004
5010.XYZ	5010.002
5010.XYZ	5010.004
5010.XYZ	5010.006
5010.XYZ	5010.008
5030.XYZ	5030.002
5074.XYZ	5074.002
5074.XYZ	5074.004
5074.XYZ	5074.006
5074.XYZ	5074.008
5074.XYZ	5074.010
5081.XYZ	5081.002
5081.XYZ	5081.004
5092.XYZ	5092.002
5092.XYZ	5092.004
5092.XYZ	5092.006
5092.XYZ	5092.008
5095.XYZ	5095.002
5095.XYZ	5095.004
5095.XYZ	5095.006
5095.XYZ	5095.008
5095.XYZ	5095.010
5095.XYZ	5095.012
5095.XYZ	5095.014
5101.XYZ	5101.002
5101.XYZ	5101.004
5103.XYZ	5103.002
5104.XYZ	5104.002
5104.XYZ	5104.004
5104.XYZ	5104.006
5110.XYZ	5110.002
5128.XYZ	5128.002
5128.XYZ	5128.004
5138.XYZ	5138.002
5142.XYZ	5142.002
5147.XYZ	5147.002
5150.XYZ	5150.002
5150.XYZ	5150.004
5150.XYZ	5150.006
5150.XYZ	5150.008
5150.XYZ	5150.010
5150.XYZ	5150.012
5150.XYZ	5150.014
5154.XYZ	5154.002
5158.XYZ	5158.002
5158.XYZ	5158.004
5158.XYZ	5158.006
5160.XYZ	5160.002
5177.XYZ	5177.002
5186.XYZ	5186.002
5186.XYZ	5186.004
5186.XYZ	5186.006
5190.XYZ	5190.002
5193.XYZ	5193.002
5193.XYZ	5193.004
5208.XYZ	5208.002
5208.XYZ	5208.004
5208.XYZ	5208.006
5217.XYZ	5217.002
5217.XYZ	5217.004
5231.XYZ	5231.002
5231.XYZ	5231.004
5236.XYZ	5236.002
5236.XYZ	5236.004
5244.XYZ	5244.002
