Lnum	basehw	compound	resolution
3	aMSa	An-	anaMSa
3	aMSa	Eka-	ekAMSa
3	aMSa	Caturtha-	caturTAMSa
3	aMSa	Tṛtīya-	tftIyAMSa
3	aMSa	Tri-	tryaMSa
3	aMSa	Dvi-	dvyaMSa
4	aMSu	Gharma-	GarmAMSu
4	aMSu	Tigma-	tigmAMSu
4	aMSu	Tīkṣṇa-	tIkzRAMSu
4	aMSu	Daśana-	daSanAMSu
4	aMSu	Divya-	divyAMSu
4	aMSu	Dīpta-	dIptAMSu
4	aMSu	Prāleya-	prAleyAMSu
4	aMSu	Sahasra-	sahasrAMSu
4	aMSu	Sudhā-	suDAMSu
4	aMSu	Haṃsa-	haMsAMSu
4	aMSu	Hima-	himAMSu
5	aMSuka	Cīna-	cInAMSuka
5	aMSuka	Tanu-	tanvaMSuka
5	aMSuka	Patākā-	patAkAMSuka
5	aMSuka	Sita-	sitAMSuka
5	aMSuka	Stana-	stanAMSuka
22	akfta	Kṛta-	kftAkfta
26	akza	Kamala-patra-	kamalapatrAkza
26	akza	Kūṭa-	kUwAkza
26	akza	Jāla-	jAlAkza
26	akza	Tāmra-	tAmrAkza
26	akza	Tāraka-	tArakAkza
26	akza	Tryakṣa	tryakza
26	akza	Daśākṣa	daSAkza
26	akza	Padma-	padmAkza
26	akza	Puṇḍarīka-	puRqarIkAkza
26	akza	Puṣkara-	puzkarAkza
26	akza	Manda-	mandAkza
26	akza	Lohita-	lohitAkza
26	akza	Sahasra-	sahasrAkza
26	akza	Su-	svakza
27	akza	Eka-	ekAkza
28	akzan	Tryakṣan	tryakzan
30	akzara	An-	anakzara
30	akzara	Eka-	ekAkzara
30	akzara	Ghuṇa-	GuRAkzara
30	akzara	Catur-	caturakzara
30	akzara	Tryakṣara	tryakzara
30	akzara	Ṣaḍakṣara	zaqakzara
32	akzi	Agra-	agrAkzi
41	agAra	Agnyagāra	agnyagAra
42	aguru	Kāla-	kAlAguru
43	agni	An-	anagni
43	agni	Ākita-	AkitAgni
43	agni	An-āhita-	anAhitAgni
43	agni	Kaṭa-	kawAgni
43	agni	Kopa-	kopAgni
43	agni	Jñāna-	jYAnAgni
43	agni	Tṛṇa-	tfRAgni
43	agni	Dakṣiṇa-	dakziRAgni
43	agni	Dā̆va-	dĂvAgni
43	agni	Pañcāgni	paYcAgni
43	agni	Rājāgni	rAjAgni
43	agni	Viṣa-	vizAgni
43	agni	Śoka-	SokAgni
43	agni	Huta-	hutAgni
57	agra	An-eka-	anekAgra
57	agra	Kuśa-	kuSAgra
57	agra	Daṃṣṭrā-	daMzwrAgra
57	agra	Dakṣiṇā-	dakziRAgra
57	agra	Druma-	drumAgra
57	agra	Nakha-	naKAgra
57	agra	Naga-	nagAgra
57	agra	Nāsikā-	nAsikAgra
57	agra	Maṇḍala-	maRqalAgra
58	agraga	Senā-	senAgraga
60	agraja	Gada-	gadAgraja
62	agratas	Bhairava-	BEravAgratas
63	agrasara	Pra-	prAgrasara
70	agrya	Dvija-	dvijAgrya
72	aGa	An-	anaGa
76	aNka	Kṛta-	kftANka
76	aNka	Jambāla-	jambAlANka
76	aNka	Makara-	makarANka
76	aNka	Mṛga-	mfgANka
76	aNka	Valgā-	valgANka
76	aNka	Svanāmāṅka	svanAmANka
78	aNkura	Abhilāṣa-	aBilAzANkura
78	aNkura	Kula-	kulANkura
78	aNkura	Daṃṣṭrā-	daMzwrANkura
78	aNkura	Rada-	radANkura
78	aNkura	Viṣa-	vizANkura
78	aNkura	Vīja-	vIjANkura
78	aNkura	Smara-	smarANkura
80	aNkuSa	Ati-	atyaNkuSa
80	aNkuSa	An-	anaNkuSa
80	aNkuSa	Niraṅkuśa	niraNkuSa
84	aNga	An-	anaNga
84	aNga	An-a-vadya-	anavadyANga
84	aNga	Aṣṭāṅga	azwANga
84	aNga	Uttama-	uttamANga
84	aNga	Eka-	ekANga
84	aNga	Kāla-	kAlANga
84	aNga	Kuṣṭha-	kuzWANga
84	aNga	Kṛśa-	kfSANga
84	aNga	Khaṭvā-	KawvANga
84	aNga	Catur-	caturaNga
84	aNga	Citra-	citrANga
84	aNga	Tanu-	tanvaNga
84	aNga	Tanū-ja-	tanUjANga
84	aNga	Niraṅga	niraNga
84	aNga	Pañcāṅga	paYcANga
84	aNga	Mahā-	mahANga
84	aNga	Rakta-	raktANga
84	aNga	Ratha-	raTANga
84	aNga	Vakra-	vakrANga
84	aNga	Vara-	varANga
84	aNga	Vi-citra-	vicitrANga
84	aNga	Hīna-	hInANga
84	aNga	Hema-	hemANga
89	aNgaRa	Raṅga-	raNgANgaRa
89	aNgaRa	Harmya-	harmyANgaRa
92	aNgada	Citra-	citrANgada
93	aNgana	Raṇa-	raRANgana
94	aNganA	Kula-	kulANganA
94	aNganA	Vara-	varANganA
98	aNgAra	Kula-	kulANgAra
98	aNgAra	Mṛta-	mftANgAra
99	aNgAraka	Sa-	sANgAraka
100	aNgin	Catur-	caturaNgin
101	aNgiras	Tṛṇa-soma-	tfRasomANgiras
105	aNgula	Pañcāṅgula	paYcANgula
107	aNguli	Latā-	latANguli
114	aNGri	Śīrṇa-	SIrRANGri
115	acala	Kula-	kulAcala
115	acala	Tuhina-	tuhinAcala
115	acala	Mahā-	mahAcala
116	acCa	Su-	svacCa
119	aja	Vana-	vanAja
126	ajina	Kṛṣṇa-	kfzRAjina
127	ajira	Raṇa-	raRAjira
138	aYj	A-vyakta	avyakta
139	aYjana	Nirañjana	niraYjana
139	aYjana	Rasa-	rasAYjana
140	aYjali	Ud-	udaYjali
140	aYjali	Karṇa-	karRAYjali
140	aYjali	Kṛta-	kftAYjali
140	aYjali	Jala-	jalAYjali
140	aYjali	Brahmāñjali	brahmAYjali
144	awana	Bhikṣā-	BikzAwana
150	awwahAsa	Sa-aṭṭahāsa + m	sAwwahAsam
153	awyA	Vṛthā-	vfTAwyA
159	aRu	Parama-	paramARu
163	aRqa	Brahmāṇḍa	brahmARqa
163	aRqa	Meṣa-	mezARqa
165	aRqaja	Kāla-	kAlARqaja
172	atikrama	Duratikrama	duratikrama
176	atiTi	Deśa-	deSAtiTi
200	atiSaya	Niratiśaya	niratiSaya
200	atiSaya	Sa-	sAtiSaya
214	atyaya	An-	anatyaya
214	atyaya	Kāla-	kAlAtyaya
214	atyaya	Jala-	jalAtyaya
214	atyaya	Tapa-	tapAtyaya
214	atyaya	Duratyaya	duratyaya
214	atyaya	Niratyaya	niratyaya
214	atyaya	Mahā-	mahAtyaya
214	atyaya	Su-mahā-	sumahAtyaya
227	adana	Phala-	PalAdana
234	adButa	Atyadbhuta	atyadButa
234	adButa	Mahā-	mahAdButa
239	adri	Asta-	astAdri
239	adri	Kuta-	kutAdri
239	adri	Tuṣāra-, tuhina-	tuzAra, tuhinAdri
249	aDara	Khaṇḍtta-	KaRqttADara
250	aDarozWa	Aṅguli-sam-vṛta-	aNgulisamvftADarozWa
250	aDarozWa	Vimba-phala-	vimbaPalADarozWa
254	aDika	Eka-	ekADika
254	aDika	Sarva-dāna-	sarvadAnADika
254	aDika	Prāṇa-	prARADika
254	aDika	Varṣa-śata-	varzaSatADika
254	aDika	Navatiṃ navādhikām	navatiM navADikAm
254	aDika	Vayodhika	vayoDika
254	aDika	Adhikādhika	aDikADika
255	aDikaraRa	Dharma-	DarmADikaraRa
255	aDikaraRa	Rāma-	rAmADikaraRa
255	aDikaraRa	Samāna-	samAnADikaraRa
256	aDikAra	Tāmbūla-	tAmbUlADikAra
256	aDikAra	Dharma-	DarmADikAra
256	aDikAra	Pṛtanā-	pftanADikAra
256	aDikAra	Samāna-	samAnADikAra
256	aDikAra	Hṛta-	hftADikAra
258	aDikArin	Dharma-	DarmADikArin
260	aDigama	Dus-	duraDigama
261	aDigamana	Dāra-	dArADigamana
269	aDipa	Amara-	amarADipa
269	aDipa	Sa-amara-	sAmarADipa
269	aDipa	Jana-	janADipa
269	aDipa	Jala-	jalADipa
269	aDipa	Tārā-	tArADipa
269	aDipa	Daṇḍa-	daRqADipa
269	aDipa	Daṇḍa-dhara-	daRqaDarADipa
269	aDipa	Deva-	devADipa
269	aDipa	Dvāra-	dvArADipa
269	aDipa	Dharā-	DarADipa
269	aDipa	Nagara-	nagarADipa
270	aDipati	Gaṇa-	gaRADipati
270	aDipati	Tri-	tryaDipati
270	aDipati	Daśādhipati	daSADipati
270	aDipati	Dhana-	DanADipati
270	aDipati	Nagara-	nagarADipati
284	aDizWAna	Tri-	tryaDizWAna
284	aDizWAna	Dharma-	DarmADizWAna
284	aDizWAna	Nis-	niraDizWAna
284	aDizWAna	Sa-	sADizWAna
284	aDizWAna	Su-	svaDizWAna
289	aDISa	Tri-	tryaDISa
289	aDISa	Dina-	dinADISa
292	aDyakza	An-	anaDyakza
292	aDyakza	Aśva-	aSvADyakza
292	aDyakza	Kośa-	koSADyakza
292	aDyakza	Gaja-	gajADyakza
292	aDyakza	Dvāra-	dvArADyakza
292	aDyakza	Sūda-	sUdADyakza
294	aDyayana	An-	anaDyayana
302	aDyAya	An-	anaDyAya
302	aDyAya	Sva-	svADyAya
302	aDyAya	Niḥsva-	niHsvADyAya
309	aDvan	Gata-	gatADvan
322	anantara	Sam-anantara + m	samanantaram
336	anala	Kāla-	kAlAnala
336	anala	Dāva-	dAvAnala
336	anala	Baḍavā-	baqavAnala
356	anIka	Agra-	agrAnIka
356	anIka	Yathā-anīka + m	yaTAnIkam
361	anukampA	Sa-anu-kampa	sAnukampa
366	anukArin	Hita-	hitAnukArin
373	anukrama	Devatā-	devatAnukrama
375	anukroSa	Nis-	niranukroSa
375	anukroSa	Sa-	sAnukroSa
378	anuga	Pada-	padAnuga
378	anuga	Śrotra-pada-	SrotrapadAnuga
378	anuga	Vaśa-	vaSAnuga
378	anuga	Sa-	sAnuga
378	anuga	Sa-bala-	sabalAnuga
388	anucara	Lakṣmaṇa-	lakzmaRAnucara
392	anujYA	Prāpta-	prAptAnujYA
393	anutApa	Paśca-	paScAnutApa
403	anunaya	Sa-	sAnunaya
405	anunAda	Sa-veṇu-vīṇā-paṇava-anunāda + m	saveRuvIRApaRavAnunAdam
412	anupAlana	Dus-	duranupAlana
425	anuBAva	Mahā-	mahAnuBAva
437	anuyAtra	Datta-	dattAnuyAtra
447	anurAga	Kṛta-	kftAnurAga
447	anurAga	Sa-	sAnurAga
451	anurUpa	Sva-	svAnurUpa
466	anuvartin	Citta-	cittAnuvartin
466	anuvartin	Vṛtta-	vfttAnuvartin
469	anuvAda	Vāda-	vAdAnuvAda
473	anuvftti	Sneha-	snehAnuvftti
496	anusArin	Kāla-	kAlAnusArin
500	anUcAna	An-	ananUcAna
518	anta	An-	ananta
518	anta	Apara-	aparAnta
518	anta	Udaka-	udakAnta
518	anta	Etad-	etadanta
518	anta	Kalpa-	kalpAnta
518	anta	Kṛta-	kftAnta
518	anta	Keśa-	keSAnta
518	anta	Gata-	gatAnta
518	anta	Gharma-	GarmAnta
518	anta	Jana	jana
518	anta	Tad-	tadanta
518	anta	Diś-	diSanta
518	anta	Diṣṭa-	dizwAnta
518	anta	Dṛṣṭa-	dfzwAnta
518	anta	Yajña-	yajYAnta
518	anta	Yuga-	yugAnta
518	anta	Svīkāra-	svIkArAnta
521	antaka	An-	anantaka
521	antaka	Kāla-	kAlAntaka
521	antaka	Jagadantaka	jagadantaka
521	antaka	Viṣa-	vizAntaka
527	antara	Divasa-	divasAntara
527	antara	Sa-	sAntara
527	antara	Stana-	stanAntara
532	antarAla	Sa-	sAntarAla
544	antika	Keśa-	keSAntika
544	antika	Grahaṇa-	grahaRAntika
544	antika	janāntikam	janAntikam
551	antra	Kṣudra-	kzudrAntra
551	antra	Sthūla-	sTUlAntra
556	anDa	divā-	divAnDa
563	anna	Kṛta-	kftAnna
563	anna	Deva-	devAnna
563	anna	Dadhi-	daDyanna
563	anna	Paryāya-	paryAyAnna
563	anna	Miṣṭa-	mizwAnna
563	anna	Rājānna	rAjAnna
568	anya	an-	ananya
570	anyatA	An-	ananyatA
583	anvaya	Dus-	duranvaya
583	anvaya	Nis-	niranvaya
583	anvaya	Sa-	sAnvaya
598	anvezin	Hita-	hitAnvezin
627	apatya	An-	anapatya
627	apatya	Vipanna-	vipannApatya
627	apatya	Sa-	sApatya
629	apatrapA	Nis-	nirapatrapA
630	apadeSa	Sa-apadeśa + m	sApadeSam
650	apara	Pūrva-	pUrvApara
657	aparADa	Nis-	niraparADa
657	aparADa	Sa-	sAparADa
675	apas	Su-	svapas
686	apaha	vīṣa-	vIzApaha
694	apANga	Śukla-	SuklApANga
698	apAya	Eka-	ekApAya
698	apAya	Nis-	nirapAya
698	apAya	Sa-	sApAya
702	apiDAna	Śilā-	SilApiDAna
705	apekzA	An-apekṣa	anapekza
705	apekzA	Nis-	nirapekzA
707	apekzin	An-	anapekzin
707	apekzin	Dīrgha-	dIrGApekzin
707	apekzin	Nis-	nirapekzin
713	apyaya	Loka-īśa-prabhava-	lokeSapraBavApyaya
718	apsaras	Pañcāpsaras	paYcApsaras
720	abja	Nila-	nilAbja
721	abda	Kṛcchra-	kfcCrAbda
721	abda	Tri-	tryabda
722	abDi	Kṣīra-	kzIrAbDi
727	aBikAma	Sa-	sABikAma
730	aBiKyA	Adhika-ud-recita-abhikhya	aDikodrecitABiKya
730	aBiKyA	Haṃsa-	haMsABiKyA
730	aBiKyA	Himāṃśu-	himAMSvaBiKyA
734	aBiGAta	Vapra-	vaprABiGAta
741	aBijYa	An-	anaBijYa
750	aBidroha	An-	anaBidroha
751	aBiDA	Śūravarmābhidha	SUravarmABiDa
752	aBiDAna	Suyyā-	suyyABiDAna
767	aBiprAya	Sa-	sABiprAya
770	aBiBava	Nis-	niraBiBava
788	aBimAna	Nis-	niraBimAna
788	aBimAna	Sa-	sABimAna
792	aBimuKa	Kānana-	kAnanABimuKa
792	aBimuKa	Dakṣiṇā-	dakziRABimuKa
805	aBirUpa	An-	anaBirUpa
808	aBilAza	Nis-	niraBilAza
808	aBilAza	Sa-	sABilAza
808	aBilAza	Sābhilāṣa + m	sABilAzam
813	aBivandana	Kṛta-pāda-	kftapAdABivandana
836	aBizvaNga	An-	anaBizvaNga
840	aBisaMDA	Satyābhisaṃdha	satyABisaMDa
841	aBisaMDAna	Satya-	satyABisaMDAna
849	aBisAra	Loha-	lohABisAra
853	aBihAra	Loka-	lokABihAra
854	aBIkzRam	An-	anaBIkzRam
858	aBImAna	Nis-	niraBImAna
865	aByanujYA	An-	anaByanujYA
865	aByanujYA	Kṛta-	kftAByanujYA
876	aByasana	An-	anaByasana
878	aByasUyA	Sa-	sAByasUyA
904	amara	Dharā-	DarAmara
904	amara	Sa-	sAmara
911	amAtya	Mahā-	mahAmAtya
911	amAtya	Sa-	sAmAtya
911	amAtya	Sa-janāmātya	sajanAmAtya
921	amfta	Gava-	gavAmfta
928	ambara	Nis-	nirambara
928	ambara	Mada-	madAmbara
932	ambu	Gharma-	GarmAmbu
932	ambu	Tila-	tilAmbu
932	ambu	Nis-	nirambu
937	ambuDi	Kṣāra-	kzArAmbuDi
937	ambuDi	Kṣīra-	kzIrAmbuDi
939	amburuha	Hema-	hemAmburuha
941	amBas	Ud-	udamBas
941	amBas	Gharma-	GarmAmBas
941	amBas	Lavaṇa-	lavaRAmBas
942	amBoja	Hema-	hemAmBoja
952	ayana	Uttarā-	uttarAyana
952	ayana	Dakṣiṇā-	dakziRAyana
952	ayana	Gīta-	gItAyana
952	ayana	Guṇa-	guRAyana
952	ayana	Vārttā-	vArttAyana
954	ayas	Kṛṣṇa-	kfzRAyas
970	araRya	Dharma-	DarmAraRya
970	araRya	Maha-	mahAraRya
980	ari	Dānava-	dAnavAri
1000	arka	Jala-	jalArka
1000	arka	Bāla-	bAlArka
1000	arka	Sa-	sArka
1000	arka	Su-	svarka
1001	argala	An-	anargala
1001	argala	Nis-	nirargala
1004	arGa	An-	anarGa
1004	arGa	Mahā-	mahArGa
1006	arGya	An-	anarGya
1011	arci	Sa-	sArci
1014	arcis	Aruṇa-	aruRArcis
1014	arcis	Ud-	udarcis
1014	arcis	Śānta-	SAntArcis
1014	arcis	Saptārcis	saptArcis
1020	arRava	Mahā-	mahArRava
1020	arRava	Lavaṇa-	lavaRArRava
1020	arRava	Sa-parvata-vana-	saparvatavanArRava
1023	arTa	Iti-artha + m	ityarTam
1023	arTa	Indriya-	indriyArTa
1023	arTa	Etad-artha + m	etadarTam
1023	arTa	Kim-	kimarTa
1023	arTa	Kim-artha + m	kimarTam
1023	arTa	Kṛta-	kftArTa
1023	arTa	Gṛha-	gfhArTa
1023	arTa	Tad-artha + m	tadarTam
1023	arTa	Nirartha	nirarTa
1023	arTa	Niścitārtha	niScitArTa
1023	arTa	Para-	parArTa
1023	arTa	Parama-	paramArTa
1023	arTa	Puruṣa-	puruzArTa
1023	arTa	Bhūta-	BUtArTa
1023	arTa	Mahā-	mahArTa
1023	arTa	Yajña-	yajYArTa
1023	arTa	Yathā-	yaTArTa
1023	arTa	A-yathā-	ayaTArTa
1023	arTa	Yad-artha + m	yadarTam
1023	arTa	Yāvadartha	yAvadarTa
1023	arTa	Sva-	svArTa
1032	arTavant	Mahā-	mahArTavant
1034	arTitva	An-	anarTitva
1035	arTin	Chāyā-	CAyArTin
1035	arTin	Dhana-	DanArTin
1035	arTin	Putra-	putrArTin
1035	arTin	Bala-	balArTin
1035	arTin	Bhāryā-	BAryArTin
1035	arTin	Yuddha-	yudDArTin
1035	arTin	Śaraṇa-	SaraRArTin
1035	arTin	Hita-	hitArTin
1039	arTya	Hema-	hemArTya
1042	arDa	Candra-	candrArDa
1047	arDika	Tad-	tadarDika
1050	arpaRa	Deva-	devArpaRa
1064	arha	An-	anarha
1064	arha	Pūjā-	pUjArha
1064	arha	Priya-	priyArha
1064	arha	Māna-	mAnArha
1064	arha	Rājārha	rAjArha
1064	arha	Satkāra-	satkArArha
1064	arha	Sukha-	suKArha
1069	alaka	Latā-	latAlaka
1081	alasa	Sa-	sAlasa
1095	alpa	An-	analpa
1095	alpa	Alpa-alpa	alpAlpa
1095	alpa	Su-	svalpa
1106	avakASa	Nis-	niravakASa
1106	avakASa	Sulabha-	sulaBAvakASa
1112	avagama	Dus-	duravagama
1112	avagama	Svatva-	svatvAvagama
1118	avagraha	Dus-	duravagraha
1118	avagraha	Nis-	niravagraha
1127	avajYA	Sa-avajña	sAvajYa
1127	avajYA	sāvajñam	sAvajYam
1131	avataMsa	Puṇḍarīka-	puRqarIkAvataMsa
1132	avataMsaka	koṣṭha-āgāra-	kozWAgArAvataMsaka
1140	avadAna	Virya-	viryAvadAna
1142	avadya	An-	anavadya
1142	avadya	Nis-	niravadya
1143	avaDAna	Sa-	sAvaDAna
1145	avaDi	Pratyāgamāvadhi	pratyAgamAvaDi
1145	avaDi	Sa-	sAvaDi
1161	avaboDa	Dus-	duravaboDa
1163	avaBAsa	An-	anavaBAsa
1168	avama	An-	anavama
1178	avara	Avara-avara	avarAvara
1183	avaroha	Dus-	duravaroha
1186	avalamba	Jāla-	jAlAvalamba
1186	avalamba	Nis-	niravalamba
1186	avalamba	Sa-	sAvalamba
1186	avalamba	Sevā-	sevAvalamba
1186	avalamba	Hasta-	hastAvalamba
1187	avalambana	An-	anavalambana
1187	avalambana	Kara-	karAvalambana
1188	avalambin	Rajju-	rajjvavalambin
1193	avalepa	An-	anavalepa
1193	avalepa	Sa-	sAvalepa
1199	avaSeza	Ardha-	arDAvaSeza
1199	avaSeza	Alpa-	alpAvaSeza
1199	avaSeza	Nis-	niravaSeza
1199	avaSeza	Sa-	sAvaSeza
1202	avazwamBa	Sa-	sAvazwamBa
1207	avasara	An-	anavasara
1207	avasara	Sarvāvasara + m	sarvAvasaram
1208	avasAda	Nis-	niravasAda
1218	avasTA	Tad-	tadavasTA
1218	avasTA	Antya-	antyAvasTA
1218	avasTA	Kṛta-	kftAvasTA
1219	avasTAna	An-	anavasTAna
1221	avasTiti	An-	anavasTiti
1224	avahela	Sa-	sAvahela
1231	avekzaRa	An-	anavekzaRa
1232	avekzA	An-	anavekzA
1232	avekzA	Su-	svavekzA
1239	aSana	Ati-	atyaSana
1239	aSana	Adhi-	aDyaSana
1239	aSana	An-	anaSana
1239	aSana	Nis-	niraSana
1239	aSana	Mūla-phala-	mUlaPalASana
1239	aSana	Piśita-	piSitASana
1239	aSana	Sa-	sASana
1239	aSana	Havis-	haviraSana
1239	aSana	Huta-	hutASana
1244	aSIti	Eka-	ekASIti
1244	aSIti	Pañcāśiti	paYcASiti
1249	aSoka	Nīla-	nIlASoka
1250	aSman	A-sita-	asitASman
1250	aSman	Mahā-	mahASman
1250	aSman	Sūrya-	sUryASman
1250	aSman	Harita-	haritASman
1255	aSra	Sa-	sASra
1257	aSru	Ud-	udaSru
1260	aSva	An-	anaSva
1260	aSva	Indriya-	indriyASva
1260	aSva	Gava-	gavASva
1260	aSva	Vija-	vijASva
1260	aSva	Vṛhadaśva	vfhadaSva
1260	aSva	Sa-	sASva
1260	aSva	Saptāśva	saptASva
1260	aSva	Hata-	hatASva
1273	azwaka	Tri-	tryazwaka
1273	azwaka	Aṣṭāṣṭaka	azwAzwaka
1276	azwan	Tri-	tryazwan
1286	as	mahā-satī	mahAsatI
1287	as	Citra-nyasta	citranyasta
1287	as	Su-nyasta	sunyasta
1290	asana	Iṣu-	izvasana
1290	asana	Śara-	SarAsana
1295	asu	Gata-	gatAsu
1295	asu	A-gata-	agatAsu
1296	asura	Deva-	devAsura
1298	asUya	An-asūyant	anasUyant
1299	asUyaka	An-	anasUyaka
1300	asUyA	An-asūya	anasUya
1300	asUyA	Sa-	sAsUyA
1302	asta	Sūrya-	sUryAsta
1306	astra	Iṣu-	izvastra
1306	astra	Kusuma-	kusumAstra
1306	astra	Kṛta-	kftAstra
1306	astra	Daṇḍa-	daRqAstra
1306	astra	Mahā-	mahAstra
1322	ahaMkAra	Nis-	nirahaMkAra
1323	ahaMkfta	An-	anahaMkfta
1323	ahaMkfta	Nis-	nirahaMkfta
1331	ahi	Andha-	anDAhi
1341	Akampa	An-	anAkampa
1342	Akara	Kusuma-	kusumAkara
1342	Akara	Padma-	padmAkara
1342	Akara	Ratna-	ratnAkara
1347	AkarzaRa	Khalīna-	KalInAkarzaRa
1351	AkANkzin	nirākāṅkṣin	nirAkANkzin
1352	AkAra	Guñjā-phala-sama-ākāra	guYjAPalasamAkAra
1352	AkAra	Dvidhā-	dviDAkAra
1352	AkAra	Nis-	nirAkAra
1352	AkAra	Vṛthā-	vfTAkAra
1356	AkASa	Nis-	nirAkASa
1360	Akula	An-	anAkula
1360	Akula	Pari-	paryAkula
1360	Akula	Sam-	samAkula
1364	AkUta	Sa-	sAkUta
1366	Akfti	Nis-	nirAkfti
1366	Akfti	Vāmana-	vAmanAkfti
1369	Akranda	An-	anAkranda
1369	Akranda	Durākrandam	durAkrandam
1372	Akrama	Dus-	durAkrama
1375	AkrIqa	Deva-	devAkrIqa
1376	AkroSa	Durākrośam	durAkroSam
1378	Akzepa	Śara-	SarAkzepa
1378	Akzepa	Sa-ākṣepa + m	sAkzepam
1380	AKu	Vana-	vanAKu
1383	AKyA	Udaya-ākhya	udayAKya
1383	AKyA	Kim-	kimAKyA
1383	AKyA	Daśābda-	daSAbdAKyA
1390	Agati	Gata-	gatAgati
1394	Agama	An-	anAgama
1394	Agama	Artha-	arTAgama
1394	Agama	Jalada-	jaladAgama
1394	Agama	Dina-	dinAgama
1394	Agama	Dus-	durAgama
1394	Agama	Dhana-	DanAgama
1394	Agama	Dharma-	DarmAgama
1394	Agama	Puṣpa-	puzpAgama
1394	Agama	Hima-	himAgama
1395	Agamana	An-	anAgamana
1399	Agas	An-	anAgas
1399	Agas	Kṛta-	kftAgas
1399	Agas	A-kṛta-	akftAgas
1399	Agas	Nis-	nirAgas
1402	AgAra	Agni-	agnyAgAra
1402	AgAra	Antar-	antarAgAra
1402	AgAra	Āyudha-	AyuDAgAra
1402	AgAra	Kūṭa-	kUwAgAra
1402	AgAra	Kośa-	koSAgAra
1402	AgAra	Koṣṭha-	kozWAgAra
1402	AgAra	Kautuka-	kOtukAgAra
1402	AgAra	Garbha-	garBAgAra
1402	AgAra	Deva-	devAgAra
1402	AgAra	Prekṣā-	prekzAgAra
1402	AgAra	Bandhara-	banDarAgAra
1402	AgAra	Bhāṇḍa-	BARqAgAra
1402	AgAra	Muktā-	muktAgAra
1407	Agraha	Dus-	durAgraha
1410	AGAta	Taṭa-	tawAGAta
1410	AGAta	Pakṣa-	pakzAGAta
1410	AGAta	Śara-	SarAGAta
1420	AcAra	Dakṣiṇa-	dakziRAcAra
1420	AcAra	Duḥkha-	duHKAcAra
1420	AcAra	Dus-	durAcAra
1420	AcAra	Kāma-	kAmAcAra
1420	AcAra	Sadācāra	sadAcAra
1422	AcAravant	Sadācāra + vant	sadAcAravant
1423	AcArya	Kula-	kulAcArya
1423	AcArya	Nāṭya-	nAwyAcArya
1436	AjIva	Raṅga-	raNgAjIva
1436	AjIva	Strī-	stryAjIva
1438	AjIvya	Su-	svAjIvya
1440	AjYA	An-	anAjYA
1443	Ajya	Vara-	varAjya
1449	Awopa	Sa-	sAwopa
1452	AQya	Ratna-	ratnAQya
1455	AtaNka	Naṣṭa-ātaṅka + m	nazwAtaNkam
1455	AtaNka	Nis-	nirAtaNka
1457	Atapa	An-	anAtapa
1457	Atapa	Bāla-	bAlAtapa
1457	Atapa	Sūrya-	sUryAtapa
1458	Atapatra	Ucchilīndhra-	ucCilInDrAtapatra
1463	Atura	An-	anAtura
1469	Atmaja	Dharma-	DarmAtmaja
1469	Atmaja	Nanda-	nandAtmaja
1469	Atmaja	Varuṇa-	varuRAtmaja
1470	AtmajYa	An-	anAtmajYa
1471	Atman	A-kṛta-	akftAtman
1471	Atman	Jita-	jitAtman
1471	Atman	A-jita-	ajitAtman
1471	Atman	Prāta-	prAtAtman
1471	Atman	Śānta-	SAntAtman
1471	Atman	Kāma-	kAmAtman
1471	Atman	Cala-	calAtman
1471	Atman	Dharma-	DarmAtman
1471	Atman	Pāpa-	pApAtman
1471	Atman	Mahā-	mahAtman
1471	Atman	Sūtra-	sUtrAtman
1471	Atman	Antar-	antarAtman
1471	Atman	Kevata-	kevatAtman
1471	Atman	Catur-	caturAtman
1471	Atman	Chāyā-	CAyAtman
1471	Atman	Jagat-	jagatAtman
1471	Atman	Jīva-	jIvAtman
1471	Atman	Datta-	dattAtman
1471	Atman	Dvādaśātman-	dvAdaSAtmanAtman
1471	Atman	Parama-	paramAtman
1471	Atman	Bhāvita-	BAvitAtman
1471	Atman	Bhūta-	BUtAtman
1471	Atman	Manda-	mandAtman
1471	Atman	Viśva-	viSvAtman
1478	Atmavant	An-	anAtmavant
1481	AtmIya	An-	anAtmIya
1488	Adara	Ati-	atyAdara
1488	Adara	An-	anAdara
1488	Adara	Sa-	sAdara
1490	AdAtf	An-	anAdAtf
1491	AdAna	Adhyayana-	aDyayanAdAna
1491	AdAna	Nis-	nirAdAna
1491	AdAna	Rasa-	rasAdAna
1491	AdAna	Su-	svAdAna
1496	Aditas	Rāma-darśana-āditas	rAmadarSanAditas
1497	Aditya	Ati-	atyAditya
1497	Aditya	Su-gandha-	suganDAditya
1501	Adimant	An-	anAdimant
1506	AdeSaka	Śiva-	SivAdeSaka
1510	Adya	Ādya-ādya	AdyAdya
1513	ADamana	Yoga-	yogADamana
1514	ADAna	Garbha-	garBADAna
1514	ADAna	Purīṣa-	purIzADAna
1516	ADAra	Jala-	jalADAra
1525	Anaka	Śata-	SatAnaka
1528	Anana	Catur-	caturAnana
1528	Anana	Daśānana	daSAnana
1528	Anana	Nāga-	nAgAnana
1528	Anana	Pañcānana	paYcAnana
1528	Anana	Mahā-	mahAnana
1528	Anana	Su-hasa-	suhasAnana
1531	Ananda	Nis-	nirAnanda
