Lnum	basehw	compound	resolution
13327	vidyA	Sadvidyā	sadvidyA
13327	vidyA	Sam-pūrṇa-	sampUrRavidyA
13349	viDavA	A-	aviDavA
13350	viDA	An-eka-vidha	anekaviDa
13350	viDA	Aṣṭa-vidha	azwaviDa
13350	viDA	Asmad-	asmadviDA
13350	viDA	Evam-	evamviDA
13350	viDA	Kati-	kativiDA
13350	viDA	Guṇa-	guRaviDA
13350	viDA	Catur-	caturviDA
13350	viDA	Tathā-	taTAviDA
13350	viDA	Tad-	tadviDA
13350	viDA	Tādṛgvidha	tAdfgviDa
13350	viDA	Tri-	triviDA
13350	viDA	Tvad-	tvadviDA
13350	viDA	Daśa-vidha	daSaviDa
13350	viDA	Dus-	durviDA
13350	viDA	Dri-	driviDA
13350	viDA	Navavidha	navaviDa
13350	viDA	Nānā-	nAnAviDA
13350	viDA	Pṛthagv˚	pfTagv˚
13350	viDA	Bahu-	bahuviDA
13350	viDA	Mad-	madviDA
13350	viDA	Yathā-	yaTAviDA
13350	viDA	Vi-	viviDA
13350	viDA	Ṣaḍvidha-	zaqviDaviDA
13350	viDA	Sa-	saviDA
13350	viDA	Saptavidha	saptaviDa
13350	viDA	Su-	suviDA
13351	viDAtf	Anāgata-	anAgataviDAtf
13352	viDAna	Tathā-	taTAviDAna
13352	viDAna	Puṃvat-	puMvatviDAna
13353	viDAyin	Bhaya-	BayaviDAyin
13354	viDi	A-	aviDi
13354	viDi	Karmavidhi	karmaviDi
13354	viDi	Kriyā-	kriyAviDi
13354	viDi	Chadma-vidhi	CadmaviDi
13354	viDi	Dus-	durviDi
13354	viDi	Paribhava-	pariBavaviDi
13354	viDi	Prasādhana-	prasADanaviDi
13354	viDi	Prāyaścitta-	prAyaScittaviDi
13354	viDi	Bhavadvidhi	BavadviDi
13354	viDi	Bheda-	BedaviDi
13354	viDi	Maṅgala-	maNgalaviDi
13354	viDi	Yathā-	yaTAviDi
13354	viDi	Viśeṣa-	viSezaviDi
13354	viDi	Śṛṅgāra-	SfNgAraviDi
13357	viDitsA	Nir-vidhitsa	nirviDitsa
13371	viDvaMsin	A-	aviDvaMsin
13374	vinaya	A-	avinaya
13374	vinaya	Dus-	durvinaya
13374	vinaya	Sa-	savinaya
13376	vinayavant	A-	avinayavant
13381	vinASa	A-	avinASa
13384	vinASin	A-	avinASin
13397	viniScaya	Pāpa-	pApaviniScaya
13397	viniScaya	Sva-dharma-artha-	svaDarmArTaviniScaya
13400	vinoda	Nis-	nirvinoda
13400	vinoda	Vilapana-	vilapanavinoda
13403	vindu	Suvarṇa-	suvarRavindu
13403	vindu	Hiraṇya-	hiraRyavindu
13404	vinDya	Nis-	nirvinDya
13406	vinyAsa	Akṣara-	akzaravinyAsa
13419	viparyaya	Karmaviparyaya	karmaviparyaya
13419	viparyaya	Bhāgya-	BAgyaviparyaya
13422	vipAka	Karmavipāka	karmavipAka
13422	vipAka	Daśā-	daSAvipAka
13422	vipAka	Dus-	durvipAka
13422	vipAka	Daiva-dus-	dEvadurvipAka
13428	vipina	Ati-	ativipina
13429	vipula	Su-	suvipula
13451	viplava	Prāṇa-	prARaviplava
13458	viBaNga	Āśā-	ASAviBaNga
13459	viBava	Galita-	galitaviBava
13463	viBAga	Digvi˚	digvi˚
13473	viBIzaRa	Su-	suviBIzaRa
13485	viBrama	Citta-	cittaviBrama
13485	viBrama	Dṛṣṭi-	dfzwiviBrama
13485	viBrama	Sa-	saviBrama
13495	vimarSa	Nis-	nirvimarSa
13495	vimarSa	Sa-vimarśa + m	savimarSam
13516	viyoga	A-	aviyoga
13516	viyoga	Sadviyoga	sadviyoga
13524	virala	A-	avirala
13524	virala	Pra-	pravirala
13526	viraha	Prathama-	praTamaviraha
13541	virudDatA	A-	avirudDatA
13547	viroDa	Vacana-	vacanaviroDa
13547	viroDa	Smṛti-	smftiviroDa
13548	viroDana	A-	aviroDana
13549	viroDin	Deśa-kāla-	deSakAlaviroDin
13552	vila	Ud-	udvila
13552	vila	Mahā-	mahAvila
13552	vila	Sthālī-	sTAlIvila
13558	vilamba	A-	avilamba
13562	vilaya	Su-	suvilaya
13566	vilAsa	Bhrū-	BrUvilAsa
13566	vilAsa	Sa-	savilAsa
13569	vilAsin	Vāra-	vAravilAsin
13569	vilAsin	Sura-	suravilAsin
13585	vilva	Cira-	ciravilva
13587	vivaDa	Udaka-	udakavivaDa
13589	vivara	Karṇa-	karRavivara
13589	vivara	Nāsā-	nAsAvivara
