headword	Lnum
गतसंज्ञ	15392.008
गताशङ्क	1758.002
गत्युत्कम्प	2010.002
गर्तापूरण	9086.002
गर्ववृत्ति	13894.012
गलापीड	1573.002
गलितविभव	13459.002
गात्र्	4402
गार्धपत्र	4434
गार्धराजित	4435
गार्धवासस्	4436
गिरय	4451
गिरिस्रव	16801.002
गुञ्जाफलसमाकार	1352.002
गुणचक्रप्रचोदिन्	9397.002
गुणशुल्क	14814.002
गुणसमुदयावाप्तिविषय	13709.012
गुरुजिगीष	5412.002
गुरुपाद	8631.008
गुरुव्यथा	14177.004
गृध्निनी	4536
गृहलोक	12500.012
गृहीतगर्भ	4352.002
गोजाविधनधान्यतस्	4576
गोदावरीपरिसर	8419.002
गोलोमतस्	4604
ग्रथितवस्तु	12914.006
ग्राम्	4643
चतुःस्˚	15539.006
चरणलाक्षा	12388.002
चलच्छास्त्र	14656.002
चिन्तामौन	11619.002
चिरकारिता	5012
चिरकालत्व	5013
चीरवल्कलवासस्	13106.012
चौरकिल्विष	3425.002
छक्षुःश्रुति	15023.004
छत्रगृह	4546.018
छद्मधर्म	6960.020
छद्मविधि	13354.008
छायार्थिन्	1035.002
छिन्ननस्य	7280.002
छिन्नशृङ्खल	14859.004
जघनस्थली	16592.010
जङ्घाकाण्ड	3193.004
जम्बालाङ्क	76.004
जयस्थलमुख	11351.044
जर्जरवंश	12555.006
जातगीतदिदृक्ष	6461.002
जालहस्त	17052.018
जालावलम्ब	1186.002
जिवरक्त	11938.004
जीवमात्र	11166.024
ज्ञानलव	12365.002
ठम्	2009.004
तत्प्रभात	10491.002
तदीयस्थान	16605.020
तन्वंशुक	5.004
तपष्चरण	4881.002
तमोवृत्ति	13894.022
तरङ्ग्	5747
तरुणपुत्र	8940.010
तालजङ्घा	5231.002
तिमिरघूर्ण	4732.002
तीर्थह्रद	17278.003
तुरङ्गममेध	11553.004
तृचवर्ज	12769.002
तृणविन्दुसरस्	15822.003
तृष्णातन्तु	5689.004
तेजोहानि	17068.002
तौर्यत्रिकसूत्रकार	16298.002
त्यक्तपूज	9066.006
त्रस्तरक्षोगण	4286.004
त्रिक्रम्	3920.002
त्रिनत	7212.002
त्रिस्रुत	16812.002
त्र्यब्दपूर्वम्	9100.016
त्र्यृच्	2524.004
त्वद्धितकाम्या	3260.004
त्वद्वर्जम्	12769.004
त्वद्संगम	15329.002
दंष्ट्राग्र	57.006
दंष्ट्राङ्कुर	78.006
दक्षिणकूल	3679.002
दक्षिणतःपुरस्	8975.002
दण्डचक्रबाल	4777.002
दण्डरुचि	12142.004
दण्डव्रत	14318.018
दत्तानुयात्र	437.002
दन्तमुषल	11410.006
दर्शनमात्र	11166.032
दशाब्दाख्य्	1383.006
दशार्धसंख्य	15322.008
दायकता	6405
दायादसमूह	15721.002
दारदर्शन	6330.014
दारिकादानपूर्वक	9101.006
दासपण	8008.004
दिक्चक्रबाल	4777.004
दुराक्रन्दम्	1369.004
दुरास्	1789.002
दुर्ब्˚	10351.006
दुर्भ्˚	10394.002
दुर्विचेष्टा	13236.002
दुष्चरित	4879.002
दुष्चर्मन्	4899.006
दुष्चारित्र	4955.002
दुष्चारिन्	4957.014
दुष्चिकित्स	4969.002
दुष्चिन्त्य	5004.006
दुष्चेष्ट्	5103.002
दुष्छद	5150.010
दुष्छिद्	5190.002
दुष्टचारित्र	4955.004
दुस्शील	14757.010
दृग्व्यापार	14261.006
दृष्टरसप्रबन्ध	9765.006
दृष्टिवाण	12980.004
देवयजनसंभव	15779.018
देवराजसमीपतस्	15672.004
देशकालक्षम	4025.010
देहयन्तृ	11705.002
दैवान्तरितपौरुष	9262.002
द्वन्द्वभाव	10542.026
द्वन्द्वयोधिन्	11867.008
द्वादशवर्ष	12804.008
द्विगुणलाभ	12407.008
द्विस्तावन्त्	5858.002
द्वेषिमनस्	10922.010
धनमित्त्र	11301.008
धनशुल्क	14814.004
धनुर्व्यग्रहस्त	17052.022
धर्मदोषप्रसङ्ग	9911.006
धिष्ठ्यप	7030
धूषरत्व	7072
नखकुलिश	3604.002
नगमात्र	11166.036
नम्रविटप	13268.002
नवस्˚	15539.008
नवोत्सेध	2089.002
नानाभाण्डपति	8032.080
नारीदृङ्नीरजस्तवकित	16532.004
निकामतस्	7392
निधानोष्मन्	2474.004
निन्दितमति	10859.010
नियमव्रत	14318.026
निरपत्रपा	629.002
निरभिभवसार	16069.030
निरमित्त्र	11301.006
निरवद्यवन्त्	7536
निरुपमरस	10087.002
निर्गतस्पृह	16708.004
निर्ब्˚	10328.018
निर्वाणदीप	6512.002
निर्विचेष्टा	13236.004
निष्चक्षुस्	4792.018
निष्चल	4912.002
निष्चेतन	5092.004
निष्पत्रय	7748
निष्प्रभावता	7754
निस्ःतुति	16543.002
नीतिवीज	13827.010
नीरर्व	12002.008
नेत्रव्रज	14311.004
पञ्चरात्रिका	12070.002
पटरचना	11921.008
पतङ्गवृत्ति	13894.030
पतिधर्मतस्	8036
पत्रवृश्चिक	13916.002
पयोगत	4326.010
परश्रित	15008.004
पराधीनवृत्ति	13894.032
परिनेत्र	7839.006
परिस्	8415
पर्ववर्जम्	12769.006
पाणिप्रणयिता	9435.002
पाण्डरद्वारगोपुर	8963.024
पापक्षयमात्र	11166.042
पिकवर	12728.008
पिण्डवत्	8819
पीवन्त्	8898
पुण्डरीकावतंस	1131.002
पुनःपुनश्चर्वितचर्वण	4907.002
पुरमालिन्	11264.018
पृतनाधिकार	256.006
पृथक्पृथक्	9137.002
पृथुश्रोनी	15041.002
प्रकीर्णकुसुमोत्कर	2012.004
प्रकृष्टप्रेमन्	10103.004
प्रतिग्रहरुचि	12142.006
प्रतिपक्षवादित्व	9559
प्रत्यन्तर	9681
प्रदक्षिणसव्य	9725
प्रबालमणिशृङ्ग	14860.010
प्रबालमणिशृङ्गिन्	14866.002
प्रस्नुतस्तन	16508.006
प्राख्पुण्यप्रभव	9771.004
प्राङ्गनतस्	9979
प्राणधारणमात्र	11166.044
प्राणविप्लव	13451.002
प्रामाण्यतस्	10033
फूत्कर्तुमनस्	10186
बद्धकट	2802.002
बद्धनिस्त्रिंश	7765.002
बधूयु	10214
बध्यशिला	14711.008
बष्	10260
बस्	10261
भक्षस्थान	16605.032
भङ्गभय	10431.012
भयप्लुत	10143.004
भयहेतुक	17217.002
भर्तृमन्त्	10454
भव्यरूपा	12181.034
भानवन्त्	10518
भीमक्रम्	3920.008
भूतसंचारिणी	15380.002
भूयिष्ठद्विजबालवृद्धविकलस्त्रैण	16579.002
भूलतिका	12332.006
भृकुटिमुख	11351.088
भ्रातृसंघातवन्त्	15353.002
मण्डलव्यूह	14304.008
मत्तेभकुम्भविदलनकृतश्रम	14986.012
मदनबाध	10282.008
मदनमञ्जरि	10821.003
मदिरेक्षणी	10884
मधुरसंभाष	15782.002
